Month,FPI_Equity (USD_MN),FPI_Debt (USD_MN),FPI_Hybrid (USD_MN),FPI_Equity (INR_Crore),FPI_Debt (INR_Crore),FPI_Hybrid (INR_Crore),MF_Equity (INR_Crore),MF_Debt (INR_Crore),usd_inr,MF_Equity (USD_MN),MF_Debt (USD_MN)
13/12/2023,635.57,-26.43,2.25,"5,300.35",-220.4,18.78,"1,222.75","-1,698.67",8.339522004,146.6211132,-203.6891322
12/12/2023,310.4,74.57,2.99,"2,588.08",621.82,24.92,2418.25,"-1,071.43",8.337886598,290.0315292,-128.5013879
11/12/2023,104.56,39.07,6.78,871.91,325.83,56.52,"2,047.26",-2695.4,8.338848508,245.5087172,-323.2340769
08/12/2023,479.08,139.02,2.22,"3,993.95",1158.96,18.53,"3,772.84",-1690.56,8.336707857,452.5575401,-202.7850836
07/12/2023,-54.42,122.56,0.8,-453.66,1021.73,6.66,949.57,276.09,8.336273429,113.9082119,33.1191152
06/12/2023,24.03,-143.38,0.44,200.28,-1195.09,3.68,"1,209.35",-1594.94,8.334581773,145.1002621,-191.3641312
05/12/2023,694.92,244.73,0.44,"5,795.20","2,040.85",3.68,-1580.19,"-1,450.66",8.339377194,-189.4853732,-173.9530382
04/12/2023,660.22,316.41,0.42,5501.97,2636.83,3.51,1183.99,886.77,8.333540335,142.0752708,106.4097568
01/12/2023,685.88,131.04,0.01,5717.47,1092.34,0.07,"1,115.87",-298.89,8.335962559,133.8621655,-35.85548734
30/11/2023,1169.05,-10.87,0.1,9744.03,-90.62,0.81,"1,383.70","-4,520.03",8.334998503,166.0108277,-542.2952384
29/11/2023,517.69,36.5,-0.98,"4,313.30",304.12,-8.16,-651.04,-351.8,8.331820201,-78.13898815,-42.2236668
28/11/2023,214.23,52.75,-0.39,1786.47,439.85,-3.27,781.47,531.90,8.339028147,93.71235907,63.78441116
24/11/2023,302.62,206.01,-0.21,"2,522.82",1717.42,-1.75,1252.59,1654.93,8.336593748,150.2520139,198.5139315
23/11/2023,171.99,-204.55,0.38,1433.66,-1705.14,3.18,"1,980.74","-1,805.83",8.335717193,237.6208254,-216.637628
22/11/2023,-163.76,156.42,-0.45,-1364.76,1303.52,-3.78,391.83,154.23,8.333903273,47.01638442,18.5063343
21/11/2023,-18.29,81.39,-0.17,-152.50,678.38,-1.43,"5,259.73",1133.4,8.337889557,630.8226997,135.9336787
20/11/2023,-71.85,-4.14,-0.61,-598.73,-34.52,-5.07,"2,107.72","1,546.61",8.333054976,252.9348488,185.5993996
17/11/2023,-44.77,-20.89,-0.45,-372.74,-173.94,-3.78,-329.76,"-3,395.50",8.325664507,-39.6076493,-407.8353142
16/11/2023,159.23,195.7,-1.83,"1,325.45",1628.99,-15.2,4221.96,3793.18,8.324122339,507.1958133,455.6852778
15/11/2023,183.25,128.9,-0.1,"1,523.33",1071.51,-0.82,"1,903.78","-6,026.91",8.312851296,229.0164869,-725.0111647
13/11/2023,-112.57,50.67,-0.22,-938.04,422.14,-1.86,485.95,-6440.05,8.332948388,58.31669385,-772.8417002
10/11/2023,639.22,378.46,-0.66,5328.08,"3,154.57",-5.5,350.98,-2198.45,8.335283627,42.1077453,-263.7522727
09/11/2023,-175.59,102.21,-0.99,"-1,462.36",851.18,-8.26,1586.63,763.07,8.328264708,190.5114758,91.62412901
08/11/2023,-107.25,141.16,0.22,-893.02,1175.42,1.87,901.14,-3216.54,8.326526807,108.2251965,-386.3003236
07/11/2023,-37.53,179.2,-0.06,-312.49,1492.18,-0.47,531.35,-429.04,8.326405542,63.81505168,-51.52763672
06/11/2023,43.25,-1.42,-0.68,359.87,-11.79,-5.64,244.69,-2068.9,8.320693642,29.40740406,-248.6451357
03/11/2023,-10.26,67.48,0.31,-85.47,561.87,2.6,585.72,-3026.32,8.330409357,70.31107055,-363.2858687
02/11/2023,-142.7,131.7,0.72,"-1,188.16","1,096.61",6,1126.56,-404.05,8.326278907,135.3017371,-48.52707969
01/11/2023,-215.03,10.65,0.15,-1790.88,88.69,1.29,652.48,-714.19,8.328512301,78.34292326,-85.75240982
31/10/2023,-52.01,95.94,-0.21,-433.05,798.9,-1.75,"1,104.62",-1901.22,8.326283407,132.6666348,-228.3395733
30/10/2023,-203.84,7.97,0.33,"-1,697.33",66.4,2.73,"1,332.54",-235.92,8.326775903,160.0307268,-28.33269476
27/10/2023,-299.56,28.22,-0.22,"-2,493.88",234.92,-1.87,"1,052.22","-1,575.53",8.325143544,126.3906135,-189.2495897
26/10/2023,-768.39,-23.6,-4.6,"-6,396.40",-196.48,-38.3,726.35,201.75,8.32441859,87.25534308,24.23592685
25/10/2023,-484.08,-2.94,-2.06,-4025.21,-24.39,-17.13,375.92,-257.52,8.315175178,45.20890925,-30.96988271
23/10/2023,49.28,-15.56,-0.59,409.88,-129.37,-4.93,-28.11,-804.98,8.31737013,-3.379674051,-96.782996
20/10/2023,216.54,79.7,0.06,"1,801.60",663.12,0.48,633.68,336.51,8.319940889,76.16400266,40.44620082
19/10/2023,-114.31,-1.91,-0.34,-951.93,-15.83,-2.82,528.53,317.28,8.327617881,63.4671292,38.09973086
18/10/2023,-238.97,46.78,0.62,-1989.61,389.44,5.2,327.83,429.11,8.32577311,39.37532235,51.53995843
17/10/2023,70.94,17.86,-0.62,590.58,148.69,-5.2,971.63,-3144.53,8.325063434,116.711423,-377.7184432
16/10/2023,-47.18,61.44,-0.25,-392.85,511.53,-2.07,-408.22,"5,094.19",8.32662145,-49.02588673,611.7955561
13/10/2023,45.82,87.37,0.16,381.53,727.44,1.36,2099.85,503.06,8.326713226,252.1823369,60.41519461
12/10/2023,-210.02,104.43,0.21,"-1,747.01",868.7,1.71,"1,713.22",49.35,8.318303019,205.9578734,5.932700442
11/10/2023,-21.41,2.34,-0.36,-178.27,19.48,-2.98,700.70,-1324.11,8.326482952,84.15317776,-159.0239249
10/10/2023,-108.6,61.55,-0.35,-904.21,512.5,-2.95,-97,"-3,776.22",8.326058932,-11.65016976,-453.5423099
09/10/2023,92.83,-58.48,-0.77,772.83,-486.9,-6.45,726.5,"-4,390.82",8.325218141,87.26498066,-527.412006
06/10/2023,32.51,121.45,-0.24,270.6,1010.9,-2.02,956.42,"-2,405.33",8.323592741,114.9047088,-288.9773773
05/10/2023,-40.54,33.24,-2.15,-337.42,276.71,-17.91,348.44,"-1,754.88",8.323137642,41.86401992,-210.8435635
04/10/2023,-475.23,-54.39,-0.25,"-3,956.74",-452.87,-2.07,"1,344.05","-1,371.29",8.325947436,161.4290758,-164.7007756
03/10/2023,-100.51,168.11,-1.85,-836.06,1398.43,-15.36,-416.62,1516.85,8.318177296,-50.08549171,182.3536511
28/09/2023,-345.27,103.44,-0.59,"-2,867.76",859.19,-4.89,1665.63,383.22,8.305847598,200.5370289,46.13857833
27/09/2023,-263.08,-28.22,0.44,-2189.32,-234.86,3.64,1250.44,931.55,8.321879276,150.2593295,111.9398599
26/09/2023,16.56,53.92,0.62,137.82,448.81,5.19,"2,334.21",992.82,8.322463768,280.4710318,119.2940009
25/09/2023,-166.86,7.56,0.65,"-1,386.62",62.78,5.44,"2,395.04",-750.34,8.310080307,288.2090078,-90.29274956
22/09/2023,-140.48,44.26,2,-1165.26,367.08,16.58,844.18,-2204.52,8.294846241,101.7716273,-265.769845
21/09/2023,-225.54,-29.85,-6.39,"-1,875.38",-248.17,-53.1,292.75,834.00,8.315066064,35.20717668,100.2998646
20/09/2023,-369.45,-136.96,-1.44,"-3,075.88",-1140.31,-11.96,1167.51,791.93,8.325565029,140.2319237,95.12027078
18/09/2023,-89.6,24.63,-1.43,-745.58,204.99,-11.9,1695.57,"2,097.89",8.321205357,203.7649508,252.1137155
15/09/2023,36.22,-65.49,-6.37,300.84,-543.95,-52.93,2498.04,-652.90,8.305908338,300.7545832,-78.60669459
14/09/2023,83.01,56.52,-0.19,688.78,468.99,-1.59,"-1,444.87","-3,338.01",8.297554512,-174.1320287,-402.2884086
13/09/2023,-276.43,115.9,-0.52,"-2,293.06",961.46,-4.31,8.89,-502.18,8.295264624,1.071695769,-60.53815312
12/09/2023,-39.87,70.92,0.97,-330.83,588.42,8.09,"1,405.21","-3,458.15",8.297717582,169.3489789,-416.759183
11/09/2023,176.96,-78.08,1.07,"1,466.70",-647.09,8.84,2288.35,"1,291.93",8.288313743,276.0935542,155.8736843
08/09/2023,-11.68,0.83,-0.17,-97.07,6.89,-1.41,"1,857.03",2.07,8.310787671,223.4481343,0.249073864
07/09/2023,-86.45,49.01,-0.1,-719.15,407.73,-0.82,1418.72,-2298.54,8.318681319,170.5462616,-276.3106209
06/09/2023,-340.94,21.03,0.15,-2832.84,174.67,1.21,867.47,-1020.63,8.308910659,104.4023742,-122.8355969
05/09/2023,-158.13,-96.29,0.28,-1311.57,-798.73,2.31,818.18,778.45,8.294251565,98.64422288,93.85415838
04/09/2023,-287.13,-3.22,-0.07,-2375.64,-26.64,-0.62,1798.18,-2584.73,8.2737436,217.3357173,-312.4015107
01/09/2023,215.09,86.65,5.36,"1,778.00",716.28,44.32,-65.31,713.93,8.266307127,-7.90074685,86.3662563
31/08/2023,152.23,20.56,0.91,"1,258.56",170.04,7.52,1420.63,240.51,8.267489982,171.8332896,29.0910543
30/08/2023,1.19,3.44,-1.36,9.86,28.51,-11.25,652.29,556.78,8.285714286,78.72465517,67.19758621
29/08/2023,95.92,166.99,0.53,792.77,"1,380.24",4.35,640.25,-471.23,8.264908257,77.46607465,-57.0157569
28/08/2023,299.71,25.61,-0.41,"2,476.01",211.59,-3.35,1035.93,-261.86,8.261352641,125.3947199,-31.69698854
25/08/2023,-206.45,19.71,-6.17,"-1,706.33",162.94,-50.97,491.78,-486.37,8.265100509,59.50078883,-58.84622933
24/08/2023,267.2,-29.65,0.24,"2,205.79",-244.78,1.94,366.17,-81.84,8.255202096,44.35627326,-9.913748816
23/08/2023,108.73,8.81,0.57,901.63,73.05,4.7,651.00,"1,569.28",8.292375609,78.50585052,189.243719
