Month,Main_Category,Sub_Category,Scheme_Type,No_scheme,No_Folios,Funds_Mobilised_YTD,Redemptions_YTD,Net_Inflow_YTD,Net_AUM,Average_AUM,No_Folios_segregated,AUM_segregated_folio,Upload_Date
31-01-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Sectoral/Thematic Funds,116.00,"1,14,37,336.00","56,772.49","33,392.14","23,380.35","1,46,129.45","1,47,828.62",0.00,0.00,19-07-2024
31-03-2022,Close ended Schemes,Income/Debt Oriented Schemes,Fixed Term Plan,296.00,"1,90,581.00","5,765.92","78,410.63","-,72,644.72","48,381.27","48,657.63",0.00,0.00,19-07-2024
31-03-2022,Close ended Schemes,Income/Debt Oriented Schemes,Capital Protection Oriented  Schemes,13.00,"30,736.00",0.00,"1,070.61","-1,070.61","1,619.32","1,610.48",0.00,0.00,19-07-2024
31-03-2022,Close ended Schemes,Income/Debt Oriented Schemes,Infrastructure Debt Fund ,8.00,80.00,0.00,319.00,"-,319.00","2,002.70","1,990.39",0.00,0.00,19-07-2024
31-03-2022,Close ended Schemes,Income/Debt Oriented Schemes,Other Debt Scheme,1.00,717.00,0.00,681.49,"-,681.49",60.14,59.68,0.00,0.00,19-07-2024
31-03-2022,Interval Schemes,Interval Schemes,Growth/Equity Oriented Schemes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19-07-2024
31-03-2022,Close ended Schemes,Growth/Equity Oriented Schemes,Other Equity Schemes,17.00,"1,12,646.00",0.00,"9,218.97","-9,218.97","4,520.05","4,556.09",0.00,0.00,19-07-2024
31-03-2022,Close ended Schemes,Growth/Equity Oriented Schemes,Other Schemes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19-07-2024
31-03-2022,Interval Schemes,Interval Schemes,Income/Debt Oriented Schemes,21.00,"3,050.00",557.43,170.98,386.45,546.54,552.56,0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Flexi Cap Fund,31.00,"1,16,48,458.00","72,967.71","37,090.83","35,876.88","2,25,430.27","2,17,926.75",0.00,0.00,19-07-2024
31-03-2022,Close ended Schemes,Growth/Equity Oriented Schemes,ELSS,19.00,"3,13,073.00",0.00,"1,091.63","-1,091.63","3,752.68","3,665.55",0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Other Schemes,Fund of funds investing overseas,45.00,"12,54,895.00","15,035.83","4,361.94","10,673.90","22,609.19","21,830.64",0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Hybrid Schemes,Equity Savings Fund,22.00,"3,54,715.00","13,126.48","7,210.22","5,916.25","16,664.06","16,945.10",2.00,25.81,19-07-2024
31-03-2022,Open ended Schemes,Other Schemes,Index Funds,93.00,"24,69,089.00","55,917.40","11,147.10","44,770.31","68,675.73","58,096.85",0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Solution Oriented  Schemes,Childrens' Fund,10.00,"28,94,434.00","1,061.27",554.14,507.13,"13,131.24","12,841.65",0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Solution Oriented  Schemes,Retirement Fund,25.00,"26,84,311.00","2,338.66","1,581.25",757.40,"16,405.53","16,021.38",0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Hybrid Schemes,Arbitrage Fund,25.00,"4,99,685.00","1,22,159.12","99,403.09","22,756.04","95,216.57","1,10,447.47",0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Hybrid Schemes,Multi Asset Allocation Fund,10.00,"7,95,488.00","5,798.77","4,300.52","1,498.24","19,582.48","20,325.41",0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Hybrid Schemes,Dynamic Asset Allocation / Balanced Advantage Fund,25.00,"42,45,466.00","83,995.98","26,998.66","56,997.32","1,78,862.66","1,76,356.43",0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Hybrid Schemes,Balanced Hybrid Fund/ Aggressive Hybrid Fund,32.00,"50,50,651.00","31,896.64","28,474.41","3,422.23","1,48,518.69","1,45,256.46",2.00,9.33,19-07-2024
31-03-2022,Open ended Schemes,Other Schemes,Other ETFs,124.00,"1,05,41,730.00","1,39,616.11","58,766.73","80,849.37","4,11,362.41","3,97,042.90",0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Sectoral/Thematic Funds,117.00,"1,18,94,913.00","68,251.85","41,123.36","27,128.49","1,48,830.47","1,44,894.15",0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Hybrid Schemes,Conservative Hybrid Fund,21.00,"5,04,505.00","9,589.88","4,959.69","4,630.20","21,073.64","20,693.74",1.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Other Schemes,Gold ETFs,11.00,"42,41,840.00","4,975.85","2,435.23","2,540.62","19,280.89","19,369.57",0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Income/Debt Oriented Schemes,Overnight Fund,30.00,"5,60,319.00","42,01,907.42","41,73,345.08","28,562.34","1,03,071.32","1,25,062.96",0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Growth/Equity Oriented Schemes,ELSS,39.00,"1,38,96,408.00","21,134.93","19,683.30","1,451.61","1,47,840.97","1,41,776.43",0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Income/Debt Oriented Schemes,Banking and PSU Fund,22.00,"3,31,836.00","36,998.11","67,480.34","-,30,482.22","93,383.35","96,623.55",0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Income/Debt Oriented Schemes,Liquid Fund,37.00,"17,53,074.00","30,72,449.78","30,76,026.24","-3,576.46","3,45,903.46","3,88,477.20",0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Income/Debt Oriented Schemes,Ultra Short Duration Fund,27.00,"6,18,499.00","2,27,791.56","2,30,311.60","-2,520.04","87,948.45","88,587.90",0.00,0.00,19-07-2024
31-03-2022,Interval Schemes,Interval Schemes,Other Schemes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Value Fund/Contra Fund,22.00,"40,22,810.00","14,699.18","14,726.71",-27.53,"78,773.53","76,436.37",0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Dividend Yield Fund,8.00,"5,67,533.00","2,425.81","1,282.09","1,143.72","9,818.94","9,614.68",0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Small Cap Fund,24.00,"78,70,459.00","32,427.13","22,311.34","10,115.78","1,06,857.29","1,02,992.23",0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Mid Cap Fund,26.00,"87,05,192.00","41,520.38","25,211.56","16,308.82","1,59,928.03","1,54,141.32",0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Large Cap Fund,31.00,"1,24,44,858.00","49,719.84","36,201.41","13,518.42","2,26,190.66","2,18,707.41",0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Multi Cap Fund,14.00,"30,82,531.00","34,234.15","6,077.79","28,156.36","54,932.24","50,426.89",0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Income/Debt Oriented Schemes,Floater Fund,12.00,"2,62,624.00","1,14,951.39","1,03,517.68","11,433.71","80,631.81","80,726.77",0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Income/Debt Oriented Schemes,Gilt Fund with 10 year constant duration Fund,4.00,"44,766.00",551.16,841.79,"-,290.63","1,261.02","1,271.55",0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Large & Mid Cap Fund,27.00,"67,29,990.00","30,934.80","16,200.49","14,734.31","1,10,143.12","1,05,287.35",0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Income/Debt Oriented Schemes,Gilt Fund,21.00,"1,78,641.00","9,992.75","11,691.76","-1,699.02","15,222.25","15,285.79",0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Focused Fund,26.00,"50,67,076.00","32,718.98","16,720.99","15,997.99","96,710.25","93,514.99",0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Income/Debt Oriented Schemes,Money Market Fund,20.00,"4,16,283.00","3,54,414.08","3,34,432.72","19,981.36","1,14,219.15","1,15,135.62",0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Income/Debt Oriented Schemes,Short Duration Fund,25.00,"5,76,126.00","70,188.35","1,00,230.31","-,30,041.97","1,15,856.34","1,19,659.34",0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Income/Debt Oriented Schemes,Medium Duration Fund,16.00,"2,82,861.00","14,398.89","12,948.35","1,450.54","32,983.46","33,374.75",4.00,130.38,19-07-2024
31-03-2022,Open ended Schemes,Income/Debt Oriented Schemes,Medium to Long Duration Fund,13.00,"1,15,666.00","7,792.90","8,580.85","-,787.95","10,054.52","10,410.52",0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Income/Debt Oriented Schemes,Low Duration Fund,22.00,"10,54,564.00","2,30,949.95","2,52,797.16","-,21,847.21","1,12,744.66","1,14,927.56",1.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Income/Debt Oriented Schemes,Dynamic Bond Fund,25.00,"2,33,672.00","13,439.99","15,278.79","-1,838.80","25,312.03","25,683.59",1.00,50.00,19-07-2024
31-03-2022,Open ended Schemes,Income/Debt Oriented Schemes,Corporate Bond Fund,21.00,"6,61,554.00","62,033.57","99,184.76","-,37,151.19","1,30,073.36","1,32,661.78",0.00,0.00,19-07-2024
31-03-2022,Open ended Schemes,Income/Debt Oriented Schemes,Credit Risk Fund,15.00,"2,71,688.00","6,476.15","5,908.97",567.18,"27,772.37","27,852.85",4.00,66.25,19-07-2024
31-03-2022,Open ended Schemes,Income/Debt Oriented Schemes,Long Duration Fund,2.00,"24,559.00",298.41,412.41,"-,113.99","2,523.49","2,515.55",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Income/Debt Oriented Schemes,Credit Risk Fund,15.00,"2,69,097.00",289.46,572.59,"-,283.13","27,444.44","27,603.52",4.00,66.25,19-07-2024
30-04-2022,Open ended Schemes,Income/Debt Oriented Schemes,Low Duration Fund,22.00,"10,45,333.00","16,269.19","14,777.30","1,491.88","1,14,526.51","1,17,328.88",1.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Income/Debt Oriented Schemes,Money Market Fund,20.00,"4,14,834.00","36,779.65","20,585.90","16,193.75","1,30,773.58","1,26,408.12",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Income/Debt Oriented Schemes,Short Duration Fund,25.00,"5,69,283.00","3,895.00","8,347.01","-4,452.01","1,11,444.95","1,15,062.02",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Income/Debt Oriented Schemes,Medium Duration Fund,16.00,"2,78,064.00",399.47,"1,762.96","-1,363.50","31,496.19","32,311.76",4.00,130.40,19-07-2024
30-04-2022,Open ended Schemes,Income/Debt Oriented Schemes,Medium to Long Duration Fund,13.00,"1,14,730.00",151.95,561.71,"-,409.75","9,574.13","9,926.54",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Income/Debt Oriented Schemes,Long Duration Fund,2.00,"24,307.00",52.07,25.43,26.64,"2,517.55","2,500.64",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Income/Debt Oriented Schemes,Dynamic Bond Fund,25.00,"2,30,463.00",265.58,462.38,"-,196.80","25,007.51","25,079.53",1.00,50.01,19-07-2024
30-04-2022,Open ended Schemes,Income/Debt Oriented Schemes,Corporate Bond Fund,21.00,"6,55,144.00","3,595.13","6,147.90","-2,552.78","1,27,297.15","1,28,001.90",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Income/Debt Oriented Schemes,Banking and PSU Fund,22.00,"3,27,456.00",867.55,"3,963.84","-3,096.30","90,239.97","91,967.19",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Income/Debt Oriented Schemes,Gilt Fund,21.00,"1,76,768.00",529.47,635.84,"-,106.37","15,031.91","15,202.19",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Focused Fund,26.00,"51,17,009.00","2,212.17",934.50,"1,277.68","96,174.98","97,994.66",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Income/Debt Oriented Schemes,Gilt Fund with 10 year constant duration Fund,4.00,"43,980.00",78.62,40.78,37.84,"1,281.13","1,258.64",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Income/Debt Oriented Schemes,Floater Fund,12.00,"2,58,609.00","9,385.01","7,866.59","1,518.41","82,301.19","81,439.27",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Multi Cap Fund,14.00,"31,96,257.00","1,864.27",523.90,"1,340.36","55,626.82","56,094.19",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Large Cap Fund,31.00,"1,25,33,497.00","3,875.21","2,616.22","1,258.99","2,23,072.25","2,27,595.60",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Large & Mid Cap Fund,27.00,"68,45,348.00","3,011.66",962.14,"2,049.52","1,10,943.12","1,11,948.34",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Mid Cap Fund,26.00,"88,54,201.00","3,125.15","1,575.46","1,549.68","1,62,311.33","1,63,298.44",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Small Cap Fund,24.00,"81,00,585.00","3,063.63","1,346.96","1,716.68","1,09,704.63","1,10,550.86",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Dividend Yield Fund,8.00,"5,72,644.00",179.25,85.18,94.07,"9,768.91","9,953.70",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Value Fund/Contra Fund,22.00,"40,61,202.00","1,447.57",703.19,744.37,"79,447.27","80,512.45",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Income/Debt Oriented Schemes,Ultra Short Duration Fund,27.00,"6,19,228.00","30,924.12","15,834.65","15,089.47","1,03,319.53","1,00,231.93",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Sectoral/Thematic Funds,118.00,"1,21,47,243.00","7,658.57","3,815.07","3,843.49","1,49,571.13","1,50,618.40",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Growth/Equity Oriented Schemes,ELSS,39.00,"1,40,05,645.00","1,787.74","1,480.92",306.83,"1,46,077.94","1,49,026.60",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Flexi Cap Fund,31.00,"1,17,91,520.00","4,391.55","2,682.79","1,708.76","2,23,531.99","2,27,847.39",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Other Schemes,Other ETFs,124.00,"1,08,82,436.00","12,652.66","3,989.85","8,662.81","4,12,858.85","4,15,637.41",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Income/Debt Oriented Schemes,Liquid Fund,37.00,"17,51,319.00","2,81,205.28","2,52,474.31","28,730.98","3,75,793.27","4,01,172.37",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Hybrid Schemes,Balanced Hybrid Fund/ Aggressive Hybrid Fund,32.00,"50,76,631.00","2,603.72","1,902.34",701.38,"1,47,615.67","1,49,856.06",2.00,9.33,19-07-2024
30-04-2022,Open ended Schemes,Hybrid Schemes,Dynamic Asset Allocation / Balanced Advantage Fund,25.00,"42,73,085.00","3,935.05","2,392.05","1,542.99","1,80,129.26","1,82,157.55",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Hybrid Schemes,Multi Asset Allocation Fund,10.00,"8,04,549.00",486.62,276.59,210.02,"19,830.07","21,140.74",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Hybrid Schemes,Arbitrage Fund,25.00,"5,00,467.00","10,585.04","6,492.25","4,092.79","99,049.16","1,11,752.81",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Hybrid Schemes,Equity Savings Fund,22.00,"3,58,128.00",958.93,567.09,391.83,"17,042.65","17,412.18",2.00,25.81,19-07-2024
30-04-2022,Open ended Schemes,Solution Oriented  Schemes,Retirement Fund,25.00,"26,88,576.00",172.00,109.27,62.73,"16,342.73","16,536.41",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Solution Oriented  Schemes,Childrens' Fund,10.00,"28,95,835.00",90.00,40.79,49.22,"13,019.20","13,183.28",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Other Schemes,Index Funds,94.00,"25,46,000.00","7,190.77","1,128.91","6,061.87","73,994.02","70,977.73",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Other Schemes,Gold ETFs,11.00,"43,62,502.00","1,127.10",26.74,"1,100.36","20,430.06","20,265.18",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Other Schemes,Fund of funds investing overseas,46.00,"12,55,645.00",366.22,303.51,62.73,"20,540.76","21,557.65",0.00,0.00,19-07-2024
30-04-2022,Close ended Schemes,Income/Debt Oriented Schemes,Other Debt Scheme,0.00,0.00,0.00,60.60,-60.60,0.00,54.70,0.00,0.00,19-07-2024
30-04-2022,Close ended Schemes,Income/Debt Oriented Schemes,Capital Protection Oriented  Schemes,11.00,"23,149.00",0.00,270.92,"-,270.92","1,347.62","1,471.51",0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Income/Debt Oriented Schemes,Overnight Fund,30.00,"5,65,194.00","3,58,918.93","3,54,790.89","4,128.04","1,07,527.71","1,15,814.34",0.00,0.00,19-07-2024
30-04-2022,Interval Schemes,Interval Schemes,Other Schemes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19-07-2024
30-04-2022,Interval Schemes,Interval Schemes,Growth/Equity Oriented Schemes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19-07-2024
30-04-2022,Interval Schemes,Interval Schemes,Income/Debt Oriented Schemes,21.00,"3,000.00",0.00,139.33,"-,139.33",408.62,424.50,0.00,0.00,19-07-2024
30-04-2022,Open ended Schemes,Hybrid Schemes,Conservative Hybrid Fund,21.00,"5,06,641.00",652.90,351.78,301.12,"21,334.06","21,237.76",1.00,0.00,19-07-2024
30-04-2022,Close ended Schemes,Growth/Equity Oriented Schemes,Other Equity Schemes,16.00,"1,04,018.00",0.00,217.86,"-,217.86","4,265.30","4,524.26",0.00,0.00,19-07-2024
30-04-2022,Close ended Schemes,Growth/Equity Oriented Schemes,ELSS,19.00,"3,11,781.00",0.00,24.75,-24.75,"3,654.20","3,742.24",0.00,0.00,19-07-2024
30-04-2022,Close ended Schemes,Income/Debt Oriented Schemes,Fixed Term Plan,181.00,"1,33,058.00",0.00,"20,326.60","-,20,326.60","27,997.70","38,271.21",0.00,0.00,19-07-2024
30-04-2022,Close ended Schemes,Income/Debt Oriented Schemes,Infrastructure Debt Fund ,8.00,80.00,0.00,0.00,0.00,"2,016.20","2,007.42",0.00,0.00,19-07-2024
30-04-2022,Close ended Schemes,Growth/Equity Oriented Schemes,Other Schemes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19-07-2024
31-05-2022,Open ended Schemes,Other Schemes,Other ETFs,124.00,"1,13,88,264.00","24,363.20","9,644.34","14,718.86","4,09,693.32","4,00,692.49",0.00,0.00,19-07-2024
31-05-2022,Interval Schemes,Interval Schemes,Income/Debt Oriented Schemes,12.00,"2,990.00",659.51,216.43,443.07,991.17,565.82,0.00,0.00,19-07-2024
31-05-2022,Close ended Schemes,Growth/Equity Oriented Schemes,Other Schemes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19-07-2024
31-05-2022,Close ended Schemes,Growth/Equity Oriented Schemes,Other Equity Schemes,14.00,"79,231.00",0.00,"1,058.16","-1,058.16","3,198.01","3,871.04",0.00,0.00,19-07-2024
31-05-2022,Close ended Schemes,Growth/Equity Oriented Schemes,ELSS,19.00,"3,10,637.00",0.00,45.09,-45.09,"3,497.53","3,440.71",0.00,0.00,19-07-2024
31-05-2022,Close ended Schemes,Income/Debt Oriented Schemes,Infrastructure Debt Fund ,8.00,80.00,0.00,0.00,0.00,"2,027.08","2,020.60",0.00,0.00,19-07-2024
31-05-2022,Close ended Schemes,Income/Debt Oriented Schemes,Capital Protection Oriented  Schemes,10.00,"16,205.00",0.00,805.42,"-,805.42",805.11,"1,315.71",0.00,0.00,19-07-2024
31-05-2022,Close ended Schemes,Income/Debt Oriented Schemes,Fixed Term Plan,121.00,"95,982.00",0.00,"30,365.69","-,30,365.69","17,602.50","23,317.12",0.00,0.00,19-07-2024
31-05-2022,Open ended Schemes,Other Schemes,Fund of funds investing overseas,46.00,"12,57,625.00",880.11,571.15,308.96,"20,411.69","19,676.45",0.00,0.00,19-07-2024
31-05-2022,Interval Schemes,Interval Schemes,Other Schemes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19-07-2024
31-05-2022,Open ended Schemes,Hybrid Schemes,Arbitrage Fund,25.00,"5,02,163.00","19,438.79","14,338.60","5,100.19","99,976.45","1,14,269.85",0.00,0.00,19-07-2024
31-05-2022,Open ended Schemes,Other Schemes,Index Funds,94.00,"26,39,016.00","14,006.60","2,221.45","11,785.16","78,047.38","74,452.33",0.00,0.00,19-07-2024
31-05-2022,Open ended Schemes,Solution Oriented  Schemes,Childrens' Fund,10.00,"28,97,684.00",189.28,79.26,110.01,"12,833.24","12,644.69",0.00,0.00,19-07-2024
31-05-2022,Open ended Schemes,Solution Oriented  Schemes,Retirement Fund,25.00,"26,92,309.00",361.45,199.68,161.77,"16,064.56","15,801.85",0.00,0.00,19-07-2024
31-05-2022,Open ended Schemes,Hybrid Schemes,Equity Savings Fund,22.00,"3,61,971.00","1,732.88","1,141.65",591.23,"17,080.92","17,397.62",2.00,25.81,19-07-2024
31-05-2022,Interval Schemes,Interval Schemes,Growth/Equity Oriented Schemes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19-07-2024
31-05-2022,Open ended Schemes,Hybrid Schemes,Multi Asset Allocation Fund,10.00,"8,16,589.00",975.14,525.10,450.04,"19,727.13","20,562.39",0.00,0.00,19-07-2024
31-05-2022,Open ended Schemes,Hybrid Schemes,Dynamic Asset Allocation / Balanced Advantage Fund,25.00,"43,20,518.00","8,127.36","4,336.49","3,790.87","1,80,023.57","1,78,376.86",0.00,0.00,19-07-2024
31-05-2022,Open ended Schemes,Hybrid Schemes,Balanced Hybrid Fund/ Aggressive Hybrid Fund,32.00,"51,16,432.00","5,355.14","3,273.29","2,081.85","1,44,800.05","1,42,987.55",2.00,9.33,19-07-2024
31-05-2022,Open ended Schemes,Hybrid Schemes,Conservative Hybrid Fund,21.00,"5,08,531.00","1,075.94",726.66,349.28,"21,148.90","21,037.13",1.00,0.00,19-07-2024
31-05-2022,Open ended Schemes,Other Schemes,Gold ETFs,11.00,"45,06,327.00","1,461.44",157.67,"1,303.77","20,261.99","20,042.85",0.00,0.00,19-07-2024
31-05-2022,Open ended Schemes,Growth/Equity Oriented Schemes,ELSS,39.00,"1,41,12,957.00","3,456.49","2,402.82","1,053.67","1,40,800.31","1,38,087.54",0.00,0.00,19-07-2024
31-05-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Flexi Cap Fund,31.00,"1,19,57,355.00","9,386.24","4,738.54","4,647.69","2,18,723.72","2,13,348.82",0.00,0.00,19-07-2024
31-05-2022,Close ended Schemes,Income/Debt Oriented Schemes,Other Debt Scheme,0.00,0.00,0.00,60.60,-60.60,0.00,0.00,0.00,0.00,19-07-2024
31-05-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Sectoral/Thematic Funds,118.00,"1,23,03,099.00","12,463.76","6,328.46","6,135.31","1,46,708.83","1,43,476.61",0.00,0.00,19-07-2024
31-05-2022,Open ended Schemes,Income/Debt Oriented Schemes,Gilt Fund,21.00,"1,74,343.00","1,062.88",993.60,69.28,"15,108.84","15,107.41",0.00,0.00,19-07-2024
31-05-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Multi Cap Fund,14.00,"33,08,382.00","3,563.12",957.74,"2,605.38","54,714.44","53,375.43",0.00,0.00,19-07-2024
31-05-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Large Cap Fund,31.00,"1,26,60,337.00","8,297.37","4,553.03","3,744.34","2,19,835.52","2,14,430.80",0.00,0.00,19-07-2024
31-05-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Large & Mid Cap Fund,27.00,"69,79,727.00","6,371.01","1,907.99","4,463.02","1,08,775.63","1,06,027.92",0.00,0.00,19-07-2024
31-05-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Focused Fund,26.00,"51,86,385.00","4,692.31","1,866.15","2,826.16","93,943.44","91,728.43",0.00,0.00,19-07-2024
31-05-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Small Cap Fund,24.00,"83,30,982.00","6,010.74","2,524.99","3,485.74","1,04,738.76","1,03,407.66",0.00,0.00,19-07-2024
31-05-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Dividend Yield Fund,8.00,"5,79,754.00",333.52,158.62,174.90,"9,565.15","9,418.06",0.00,0.00,19-07-2024
31-05-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Value Fund/Contra Fund,22.00,"41,14,712.00","3,194.00","1,291.63","1,902.37","77,908.18","76,312.55",0.00,0.00,19-07-2024
31-05-2022,Open ended Schemes,Income/Debt Oriented Schemes,Gilt Fund with 10 year constant duration Fund,4.00,"43,242.00",581.59,96.42,485.17,"1,708.98","1,565.87",0.00,0.00,19-07-2024
31-05-2022,Open ended Schemes,Growth/Equity Oriented Schemes,Mid Cap Fund,26.00,"90,14,944.00","6,467.44","3,086.24","3,381.21","1,55,831.88","1,52,915.82",0.00,0.00,19-07-2024
31-05-2022,Open ended Schemes,Income/Debt Oriented Schemes,Banking and PSU Fund,22.00,"3,20,548.00","3,265.40","7,482.69","-4,217.29","88,745.17","89,936.76",0.00,0.00,19-07-2024
31-05-2022,Open ended Schemes,Income/Debt Oriented Schemes,Medium Duration Fund,16.00,"2,72,693.00",568.84,"3,154.73","-2,585.89","30,036.34","30,516.60",4.00,130.45,19-07-2024
31-05-2022,Open ended Schemes,Income/Debt Oriented Schemes,Floater Fund,12.00,"2,56,330.00","11,336.14","15,103.29","-3,767.15","76,832.57","79,700.49",0.00,0.00,19-07-2024
31-05-2022,Open ended Schemes,Income/Debt Oriented Schemes,Dynamic Bond Fund,25.00,"2,26,595.00",485.44,"3,096.41","-2,610.97","22,342.31","22,840.37",1.00,50.03,19-07-2024
31-05-2022,Open ended Schemes,Income/Debt Oriented Schemes,Corporate Bond Fund,21.00,"6,45,312.00","6,351.11","11,050.36","-4,699.25","1,24,499.50","1,26,221.07",0.00,0.00,19-07-2024
31-05-2022,Open ended Schemes,Income/Debt Oriented Schemes,Overnight Fund,30.00,"5,85,062.00","8,40,688.28","8,21,489.33","19,198.95","1,23,029.98","1,36,494.26",0.00,0.00,19-07-2024
31-05-2022,Open ended Schemes,Income/Debt Oriented Schemes,Liquid Fund,37.00,"17,46,868.00","5,26,349.17","4,95,841.29","30,507.88","3,78,743.93","3,75,867.96",0.00,0.00,19-07-2024
31-05-2022,Open ended Schemes,Income/Debt Oriented Schemes,Ultra Short Duration Fund,27.00,"6,15,426.00","42,807.28","34,822.77","7,984.51","96,331.98","1,00,701.29",0.00,0.00,19-07-2024
