Company_Name,ISIN,segment1,Type_Issue1,Sector,Total_No_Securities,Fresh_No_Securities,OFS_No_Securities,Issue_Open_Date,Issue_Close_Date,Times_subscribed,Face_Value,Premimum,Issue_Price,Issue_Size,Listing_Date,Anchor,QIB,Final_QIB,NII,RII,Market_Maker,Shareholder,Employee,Policy_Holders,Underwriter,Promoters_Contribution,Reservation_Portion,Net offer to public,Region,6(1) / (2),Industry_Raw,State1,Region1,Exchange,Designated_Exchange,Issue_Size_Bucket,Calender_Month,Calender_Year,Financial_Year
Network People Services Technologies Limited,,SME,IPO,Private,1712000,1712000,0,2021-07-28 00:00:00,2021-08-02,12.6514,10.0,,80.0,13.69,2021-08-10,,,,,,,,,,,,,,Western,,Info Tech,Maharashtra,Western,NSE,,≥ 10crore - < 50crore,2021-08-31,2021,2021-22
Devyani International Limited,,Main Board,IPO,Private,204222218,48888888,155333330,2021-07-04 00:00:00,2021-07-06,114.91,1.0,,90.0,1838.0,2021-08-16,,,,,,,,,,,,,,Northern,6(2),Hotels,Delhi,Northern,BSE / NSE,,≥ 500crore,2021-08-31,2021,2021-22
Krsnaa Diagnostics Limited,,Main Board,IPO,Private,12731605,4206085,8525520,2021-08-04 00:00:00,2021-08-06,64.91,5.0,,954.0,1213.33,2021-08-16,,,,,,,,,,,,,,Western,6(2),Healthcare Services,Maharashtra,Western,BSE / NSE,,≥ 500crore,2021-08-31,2021,2021-22
Windlas Biotech Limited,,Main Board,IPO,Private,8729023,3586956,5142067,2021-08-04 00:00:00,2021-08-06,20.26,5.0,,460.0,401.54,2021-08-16,,,,,,,,,,,,,,Northern,6(1),Healthcare Services,Uttar Pradesh,Northern,BSE / NSE,,≥ 100 crore - < 500crore,2021-08-31,2021,2021-22
Windlas Biotech Limited,,Main Board,IPO,Private,8729023,3586956,5142067,2021-08-04 00:00:00,2021-08-06,20.26,5.0,,460.0,401.54,2021-08-16,,,,,,,,,,,,,,Northern,6(1),Healthcare Services,Uttarakhand,Northern,BSE / NSE,,≥ 100 crore - < 500crore,2021-08-31,2021,2021-22
Exxaro Tiles Limited,,Main Board,IPO,Private,13424000,11186000,2238000,2021-08-04 00:00:00,2021-08-06,22.67,10.0,,120.0,161.08,2021-08-16,,,,,,,,,,,,,,Western,6(1),Misc,Gujarat,Western,BSE / NSE,,≥ 100 crore - < 500crore,2021-08-31,2021,2021-22
Megasoft Ltd,,Main Board,Right,Private,29502748,29502748,0,2021-07-22 00:00:00,2021-08-05,2.08,10.0,,10.0,29.5,2021-08-20,,,,,,,,,,,,,,Southern,,Info Tech,Tamil Nadu,Southern,BSE / NSE,,≥ 10crore - < 50crore,2021-08-31,2021,2021-22
CarTrade Tech Limited,,Main Board,IPO,Private,18532216,0,18532216,2021-08-09 00:00:00,2021-08-11,20.29,10.0,,1618.0,2998.51,2021-08-20,,,,,,,,,,,,,,Western,6(1),Misc,Maharashtra,Western,BSE / NSE,,≥ 500crore,2021-08-31,2021,2021-22
Nuvoco Vistas Corporation Limited,,Main Board,IPO,Private,87719297,26315789,61403508,2021-08-09 00:00:00,2021-08-11,1.74,10.0,,570.0,5000.0,2021-08-23,,,,,,,,,,,,,,Western,6(1),Cement & Cement Products,Maharashtra,Western,BSE / NSE,,≥ 500crore,2021-08-31,2021,2021-22
Chemplast Sanmar Limited,,Main Board,IPO,Private,71164509,24029574,47134935,2021-08-10 00:00:00,2021-08-12,2.07,5.0,,541.0,3850.0,2021-08-24,,,,,,,,,,,,,,Southern,6(2),Chemicals,Tamil Nadu,Southern,BSE / NSE,,≥ 500crore,2021-08-31,2021,2021-22
Aptus Value Housing Finance India Limited,,Main Board,IPO,Private,78755000,14164305,64590695,2021-08-10 00:00:00,2021-08-12,16.78,2.0,,353.0,2780.05,2021-08-24,,,,,,,,,,,,,,Southern,6(1),Misc,Tamil Nadu,Southern,BSE / NSE,,≥ 500crore,2021-08-31,2021,2021-22
DU Digital Technologies Limited,,SME,IPO,Private,690000,690000,0,2021-08-12 00:00:00,2021-08-16,11.3,10.0,,65.0,4.49,2021-08-26,,,,,,,,,,,,,,Northern,,Misc,Delhi,Northern,NSE,,< 5 crore,2021-08-31,2021,2021-22
Aashka Hospitals Limited,,SME,IPO,Private,8400000,5400000,3000000,2021-08-10 00:00:00,2021-08-13,1.3,10.0,,121.0,101.64,2021-09-01,,,,,,,,,,,,,,Western,,Healthcare,Gujarat,Western,BSE,,≥ 100 crore - < 500crore,2021-09-30,2021,2021-22
Vijaya Diagnostic Centre Limited,,Main Board,IPO,Private,35688064,0,35688064,2021-09-01 00:00:00,2021-09-03,4.57,1.0,,531.0,1894.25,2021-09-14,,,,,,,,,,,,,,Southern,6(1),Healthcare,Telangana,Southern,BSE / NSE,,≥ 500crore,2021-09-30,2021,2021-22
Ami Organics Limited,,Main Board,IPO,Private,9338288,3278688,6059600,2021-09-01 00:00:00,2021-09-03,64.59,10.0,,610.0,569.64,2021-09-14,,,,,,,,,,,,,,Western,6(1),Healthcare,Gujarat,Western,BSE / NSE,,≥ 500crore,2021-09-30,2021,2021-22
Naapbooks Limited,,SME,IPO,Private,539200,539200,0,2021-09-01 00:00:00,2021-09-06,100,10.0,,74.0,3.99,2021-09-15,,,,,,,,,,,,,,Western,,Info Tech,Gujarat,Western,BSE,,< 5 crore,2021-09-30,2021,2021-22
BEW Engineering Limited,,SME,IPO,Private,684000,684000,0,2021-09-02 00:00:00,2021-09-07,20.51,10.0,,58.0,3.97,2021-09-16,,,,,,,,,,,,,,Western,,Healthcare,Maharashtra,Western,NSE,,< 5 crore,2021-09-30,2021,2021-22
PlatinumOne Business Services Limited,,SME,IPO,Private,422400,422400,0,2021-09-02 00:00:00,2021-09-07,100,10.0,,92.0,3.88,2021-09-16,,,,,,,,,,,,,,Western,,Misc,Maharashtra,Western,BSE,,< 5 crore,2021-09-30,2021,2021-22
SCANPOINT GEOMATICS LTD.	,,Main Board,Right,Private,19967482,19967482,0,2021-08-30 00:00:00,2021-09-14,0,2.0,,12.5,24.96,2021-09-24,,,,,,,,,,,,,,Western,,Info Tech,Gujarat,Western,BSE,,≥ 10crore - < 50crore,2021-09-30,2021,2021-22
Sansera Engineering Limited,,Main Board,IPO,Private,17244328,0,17244328,2021-09-14 00:00:00,2021-09-16,11.46,2.0,,744.0,1282.52,2021-09-24,,,,,,,,,,,,,,Southern,6(1),Misc,Karnataka,Southern,BSE / NSE,,≥ 500crore,2021-09-30,2021,2021-22
Prevest Denpro Limited,,SME,IPO,Private,3168000,3168000,0,2021-09-15 00:00:00,2021-09-17,100,10.0,,84.0,26.61,2021-09-27,,,,,,,,,,,,,,Northern,,Healthcare,Jammu and Kashmir,Northern,BSE,,≥ 10crore - < 50crore,2021-09-30,2021,2021-22
Markolines Traffic Controls Limited,,SME,IPO,Private,5128000,5128000,0,2021-09-15 00:00:00,2021-09-20,100,10.0,,78.0,39.99,2021-09-27,,,,,,,,,,,,,,Western,,Cement/ Constructions,Maharashtra,Western,BSE,,≥ 10crore - < 50crore,2021-09-30,2021,2021-22
SBL Infratech Limited,,SME,IPO,Private,213600,213600,0,2021-09-16 00:00:00,2021-09-20,100,10.0,,111.0,2.37,2021-09-28,,,,,,,,,,,,,,Northern,,Cement/ Constructions,Delhi,Northern,BSE,,< 5 crore,2021-09-30,2021,2021-22
Quadpro Ites Limited,,SME,IPO,Private,"70,50,000","63,00,000","7,50,000",2021-09-20 00:00:00,2021-09-22,16.44,2.0,,20.0,14.1,2021-09-30,,,,,,,,,,,,,,Southern,,Info Tech,Karnataka,Southern,NSE,,≥ 10crore - < 50crore,2021-09-30,2021,2021-22
Paras Defence and Space Technologies Limited,,Main Board,IPO,Private,9758776,8034286,1724490,2021-09-21 00:00:00,2021-09-23,305.12,10.0,,175.0,170.78,2021-10-01,,,,,,,,,,,,,,Western,6(1),Misc,Maharashtra,Western,BSE / NSE,,≥ 100 crore - < 500crore,2021-10-31,2021,2021-22
Getalong Enterprise Limited,,SME,IPO,Private,750000,750000,0,2021-09-27 00:00:00,2021-09-30,1.98,10.0,,69.0,5.17,2021-10-08,,,,,,,,,,,,,,Western,,Textiles,Maharashtra,Western,BSE,,≥ 5crore - < 10crore,2021-10-31,2021,2021-22
Jainam Ferro Alloys (I) Limited,,SME,IPO,Private,2802000,1302000,1500000,2021-09-28 00:00:00,2021-09-30,4.76,10.0,,70.0,19.614,2021-10-08,,,,,,,,,,,,,,Central,,Misc,Chhattisgarh,Central,NSE,,≥ 10crore - < 50crore,2021-10-31,2021,2021-22
Aditya Birla Sun Life AMC Limited,,Main Board,IPO,Private,38880000,0,38880000,2021-09-29 00:00:00,2021-10-01,4.5899,5.0,,712.0,2768.26,2021-10-11,,,,,,,,,,,,,,Western,6(1),Finance,Maharashtra,Western,BSE / NSE,,≥ 500crore,2021-10-31,2021,2021-22
Shri Venkatesh Refineries Limited,,SME,IPO,Private,2928000,2928000,0,2021-09-29 00:00:00,2021-10-01,2.75,10.0,,40.0,11.71,2021-10-11,,,,,,,,,,,,,,Western,,Food processing,Maharashtra,Western,BSE,,≥ 10crore - < 50crore,2021-10-31,2021,2021-22
Bombay Metrics Supply Chain Limited,,SME,IPO,Private,460800,460800,0,2021-09-30 00:00:00,2021-10-04,14.61,10.0,,93.0,4.28544,2021-10-12,,,,,,,,,,,,,,Western,,Engineering,Maharashtra,Western,NSE,,< 5 crore,2021-10-31,2021,2021-22
Promax Power Limited,,SME,IPO,Private,1600000,1600000,0,2021-09-30 00:00:00,2021-10-04,6.13,10.0,,10.0,1.6,2021-10-12,,,,,,,,,,,,,,Northern,,Cement/ Constructions,Chandigarh,Northern,BSE,,< 5 crore,2021-10-31,2021,2021-22
Samor Reality Limited,,SME,IPO,Private,1300000,1300000,0,2021-09-30 00:00:00,2021-10-05,1.50,10.0,,62.0,8.06,2021-10-13,,,,,,,,,,,,,,Western,,Cement/ Constructions,Gujarat,Western,BSE,,≥ 5crore - < 10crore,2021-10-31,2021,2021-22
Destiny Logistics & Infra Limited,,SME,IPO,Private,2694000,2694000,0,2021-09-30 00:00:00,2021-10-05,2.71,10.0,,20.0,5.388,2021-10-13,,,,,,,,,,,,,,Eastern,,Misc,West Bengal,Eastern,NSE,,≥ 5crore - < 10crore,2021-10-31,2021,2021-22
Adishakti Loha and Ispat Limited,,SME,IPO,Private,1820000,1820000,0,2021-09-30 00:00:00,2021-10-05,1.74,10.0,,11.0,2.0,2021-10-13,,,,,,,,,,,,,,Northern,,Misc,Delhi,Northern,BSE,,< 5 crore,2021-10-31,2021,2021-22
CWD Limited,,SME,IPO,Private,850800,850800,0,2021-09-30 00:00:00,2021-10-05,1.22,10.0,,180.0,18.01,2021-10-13,,,,,,,,,,,,,,Western,,Electronic Equipments/ Products,Maharashtra,Western,BSE,,≥ 10crore - < 50crore,2021-10-31,2021,2021-22
Dynamic Services & Security Limited,,SME,IPO,Private,4732000,4732000,0,2021-09-30 00:00:00,2021-10-05,1.4,10.0,,51.0,24.1332,2021-10-13,,,,,,,,,,,,,,Eastern,,Misc,West Bengal,Eastern,NSE,,≥ 10crore - < 50crore,2021-10-31,2021,2021-22
 Texel Industries Ltd.	,,Main Board,Right,Private,3122398,3122398,0,2021-08-31 00:00:00,2021-09-29,0,10.0,,40.0,12.48,2021-10-14,,,,,,,,,,,,,,Western,,Plastic,Gujarat,Western,BSE,,≥ 10crore - < 50crore,2021-10-31,2021,2021-22
 Bannari Amman Spinning Mills Ltd	,,Main Board,Right,Private,33333333,33333333,0,2021-09-20 00:00:00,2021-10-04,0,5.0,,30.0,99.99,2021-10-14,,,,,,,,,,,,,,Southern,,Textiles,Tamil Nadu,Southern,BSE / NSE,,≥ 50 crore - < 100crore,2021-10-31,2021,2021-22
 Praxis Home Retail Limited	,,Main Board,Right,Private,43599433,43599433,0,2021-09-21 00:00:00,2021-10-05,0,5.0,,11.35,49.48,2021-10-20,,,,,,,,,,,,,,Western,,MIsc,Maharashtra,Western,BSE / NSE,,≥ 10crore - < 50crore,2021-10-31,2021,2021-22
 ASIAN GRANITO INDIA LIMITED	,,Main Board,Right,Private,22464188,22464188,0,2021-09-23 00:00:00,2021-10-07,0,10.0,,100.0,224.54,2021-10-21,,,,,,,,,,,,,,Western,,MIsc,Gujarat,Western,BSE / NSE,,≥ 100 crore - < 500crore,2021-10-31,2021,2021-22
D.K. Enterprises Global Limited,,SME,IPO,Private,1998000,1998000,0,2021-10-07 00:00:00,2021-10-12,9.53,10.0,,40.0,7.992,2021-10-22,,,,,,,,,,,,,,Northern,,Misc,Haryana,Northern,NSE,,≥ 5crore - < 10crore,2021-10-31,2021,2021-22
 KESORAM Industries Ltd*,,Main Board,Right,Private,79997755,79997755,0,2021-09-27 00:00:00,2021-10-11,0,10.0,,50.0,399.99,2021-10-28,,,,,,,,,,,,,,Eastern,,Cement/ Constructions,West Bengal,Eastern,BSE / NSE,,≥ 100 crore - < 500crore,2021-10-31,2021,2021-22
R.P.P. Infra Projects Limited*,,Main Board,Right,Private,14230000,14230000,0,2021-09-27 00:00:00,2021-10-18,,10.0,,30.0,42.69,2021-11-02,,,,,,,,,,,,,,Southern,,Cement/ Constructions,Tamil Nadu,Southern,BSE/NSE,,≥ 10crore - < 50crore,2021-11-30,2021,2021-22
Bharti Airtel Limited*,,Main Board,Right,Private,392287662,392287662,0,2021-10-05 00:00:00,2021-10-21,,5.0,,535.0,20987.389917,2021-11-02,,,,,,,,,,,,,,Northern,,Telecom,Delhi,Northern,BSE/NSE,,≥ 500crore,2021-11-30,2021,2021-22
Kotyark Industries Limited,,SME,IPO,Private,2208000,2208000,0,2021-10-21 00:00:00,2021-10-25,7.82,10.0,,51.0,11.26,2021-11-02,,,,,,,,,,,,,,Western,,Misc,Gujarat,Western,NSE,,≥ 10crore - < 50crore,2021-11-30,2021,2021-22
Aruna Hotels Ltd.,,Main Board,Right,Private,24900000,24900000,0,2021-09-29 00:00:00,2021-10-13,0,10.0,,10.0,24.9,2021-11-04,,,,,,,,,,,,,,Southern,,Hotel,Tamil Nadu,Southern,BSE,,≥ 10crore - < 50crore,2021-11-30,2021,2021-22
FSN E-Commerce Ventures Limited,,Main Board,IPO,Private,47575326,5602666,41972660,2021-10-28 00:00:00,2021-11-01,81.48,1.0,,1125.0,5349.72,2021-11-10,,,,,,,,,,,,,,Western,6(2),Misc,Maharashtra,Western,BSE/NSE,,≥ 500crore,2021-11-30,2021,2021-22
Nidan Laboratories and Healthcare Limited,,SME,IPO,Private,4000000,4000000,0,2021-10-28 00:00:00,2021-11-02,1,10.0,,125.0,50.0,2021-11-12,,,,,,,,,,,,,,Western,,Healthcare,Maharashtra,Western,NSE,,≥ 50 crore - < 100crore,2021-11-30,2021,2021-22
Fino Payments Bank Limited,,Main Board,IPO,Private,20802305,5199306,15602999,2021-10-29 00:00:00,2021-11-02,2.09,10.0,,577.0,1200.29,2021-11-12,,,,,,,,,,,,,,Western,6(2),Banks/Fis,Maharashtra,Western,BSE/NSE,,≥ 500crore,2021-11-30,2021,2021-22
PB Fintech Limited,,Main Board,IPO,Private,58262397,38265306,19997091,2021-11-01 00:00:00,2021-11-03,17.86,2.0,,980.0,5709.71,2021-11-15,,,,,,,,,,,,,,Northern,6(2),Misc,Haryana,Northern,BSE/NSE,,≥ 500crore,2021-11-30,2021,2021-22
S.J.S. Enterprises Limited,,Main Board,IPO,Private,14760146,0,14760146,2021-11-01 00:00:00,2021-11-03,1.63,10.0,,542.0,800.0,2021-11-15,,,,,,,,,,,,,,Southern,6(1),Misc,Karnataka,Southern,BSE/NSE,,≥ 500crore,2021-11-30,2021,2021-22
Sigachi Industries Limited,,Main Board,IPO,Private,7695000,7695000,0,2021-11-01 00:00:00,2021-11-03,101.91,10.0,,163.0,125.428,2021-11-15,,,,,,,,,,,,,,Southern,6(1),Healthcare,Telangana,Southern,BSE/NSE,,≥ 100 crore - < 500crore,2021-11-30,2021,2021-22
Suyog Gurbaxani Funicular Ropeways Limited,,SME,IPO,Private,6555000,1500000,5055000,2021-11-01 00:00:00,2021-11-08,1.2046,10.0,,45.0,29.49,2021-11-16,,,,,,,,,,,,,,Western,,Cement/ Constructions,Maharashtra,Western,BSE,,≥ 10crore - < 50crore,2021-11-30,2021,2021-22
One 97 Communications Limited,,Main Board,IPO,Private,85116278,38604651,46511627,2021-11-08 00:00:00,2021-11-10,1.95,1.0,,2150.0,18300.0,2021-11-18,,,,,,,,,,,,,,Northern,6(2),Misc,Delhi,Northern,BSE/NSE,,≥ 500crore,2021-11-30,2021,2021-22
Sapphire Foods India Limited,,Main Board,IPO,Private,17569941,0,17569941,2021-11-09 00:00:00,2021-11-11,8.08,10.0,,1180.0,2073.25,2021-11-18,,,,,,,,,,,,,,Western,6(2),Food processing,Maharashtra,Western,BSE/NSE,,≥ 500crore,2021-11-30,2021,2021-22
Latent View Analytics Limited,,Main Board,IPO,Private,30489362,24093423,6395939,2021-11-10 00:00:00,2021-11-12,337.89,1.0,,197.0,600.0,2021-11-23,,,,,,,,,,,,,,Southern,6(2),Info Tech,Tamil Nadu,Southern,BSE/NSE,,≥ 500crore,2021-11-30,2021,2021-22
Tarsons Products Limited,,Main Board,IPO,Private,15465861,2265861,13200000,2021-11-15 00:00:00,2021-11-17,76.39,2.0,,662.0,1023.47,2021-11-26,,,,,,,,,,,,,,Eastern,6(1),Healthcare,West Bengal,Eastern,BSE/NSE,,≥ 500crore,2021-11-30,2021,2021-22
Omnipotent Industries Limited,,SME,IPO,Private,3000000,3000000,0,2021-11-16 00:00:00,2021-11-22,1.11,10.0,,63.0,18.9,2021-11-29,,,,,,,,,,,,,,Western,,Oil & Natural Gas,Maharashtra,Western,BSE,,≥ 10crore - < 50crore,2021-11-30,2021,2021-22
Go Fashion (India) Limited,,Main Board,IPO,Private,14689983,1811594,12878389,2021-11-17 00:00:00,2021-11-22,136.13,10.0,,690.0,1013.6,2021-11-30,,,,,,,,,,,,,,Southern,6(2),Textile,Tamil Nadu,Southern,BSE/NSE,,≥ 500crore,2021-11-30,2021,2021-22
Texmaco Rail & Engineering Limited,,Main Board,Right,Private,71526643,71526643,0,2021-11-01 00:00:00,2021-11-15,0,1.0,,23.0,164.5112789,2021-12-07,,,,,,,,,,,,,,Eastern,,Cement/ Constructions,West Bengal,Eastern,BSE/ NSE,,≥ 100 crore - < 500crore,2021-12-31,2021,2021-22
DMR Hydroengineering & Infrastructures Limited,,SME,IPO,Private,996000,798000,198000,2021-11-24 00:00:00,2021-11-29,10.81,10.0,,21.0,2.09,2021-12-07,,,,,,,,,,,,,,Northern ,,Misc,Haryana,Northern,BSE ,,< 5 crore,2021-12-31,2021,2021-22
Patel Integrated Logistics Limited*,,Main Board,Right,Private,40000000,40000000,0,2021-11-09 00:00:00,2021-11-23,0,10.0,,10.0,40.0,2021-12-09,,,,,,,,,,,,,,Western,,Misc,Maharashtra,Western,BSE/ NSE,,≥ 10crore - < 50crore,2021-12-31,2021,2021-22
NXTDIGITAL LIMITED,,Main Board,Right,Private,9620463,9620463,0,2021-11-15 00:00:00,2021-11-29,0,10.0,,300.0,288.61389,2021-12-09,,,,,,,,,,,,,,Western,,Telecom,Maharashtra,Western,BSE/ NSE,,≥ 100 crore - < 500crore,2021-12-31,2021,2021-22
Star Health and Allied Insurance Company Limited,,Main Board,IPO,Private,66882461,22232230,44650231,2021-11-30 00:00:00,2021-12-02,0.79,10.0,,900.0,6018.68,2021-12-10,,,,,,,,,,,,,,Southern,6(2),Insurance,Tamil Nadu,Southern,BSE/NSE,,≥ 500crore,2021-12-31,2021,2021-22
Vikas Lifecare Limited*,,Main Board,Right,Private,176932132,176932132,0,2021-11-10 00:00:00,2021-11-24,0,1.0,,2.8,49.540996959999994,2021-12-13,,,,,,,,,,,,,,Northen,,Misc,Delhi,Northern,BSE/ NSE,,≥ 10crore - < 50crore,2021-12-31,2021,2021-22
Tega Industries Limited,,Main Board,IPO,Private,13669478,0,13669478,2021-12-01 00:00:00,2021-12-03,219.03,10.0,,453.0,619.23,2021-12-13,,,,,,,,,,,,,,Eastern,6(1),Engineering,West Bengal,Eastern,BSE/NSE,,≥ 500crore,2021-12-31,2021,2021-22
Anand Rathi Wealth Limited,,Main Board,IPO,Private,12000000,0,12000000,2021-12-02 00:00:00,2021-12-06,8.65,5.0,,550.0,659.38,2021-12-14,,,,,,,,,,,,,,Western,6(1),Finance,Maharashtra,Western,BSE/NSE,,≥ 500crore,2021-12-31,2021,2021-22
Asian Tea & Exports Ltd.	,,Main Board,Right,Private, 10000000	, 10000000	,0,2021-11-18 00:00:00,2021-12-02,0,10.0,,15.0,15.0,2021-12-15,,,,,,,,,,,,,,Eastern,,Misc,West Bengal,Eastern,BSE,,≥ 10crore - < 50crore,2021-12-31,2021,2021-22
RateGain Travel Technologies Limited,,Main Board,IPO,Private,31441282,8835752,22605530,2021-12-07 00:00:00,2021-12-09,16.46,1.0,,425.0,1335.74,2021-12-17,,,,,,,,,,,,,,Northern ,6(2),Info Tech,Delhi,Northern,BSE/NSE,,≥ 500crore,2021-12-31,2021,2021-22
Shriram Properties Limited,,Main Board,IPO,Private,50873592,21212576,29661016,2021-12-08 00:00:00,2021-12-10,4.92828,10.0,,118.0,600.0,2021-12-20,,,,,,,,,,,,,,Southern,6(2),Misc,Tamil Nadu,Southern,BSE/NSE,,≥ 500crore,2021-12-31,2021,2021-22
The Indian Hotels Company Limited,,Main Board,Right,Private,132131257,132131257,0,2021-11-24 00:00:00,2021-12-08,0,1.0,,150.0,1981.968855,2021-12-20,,,,,,,,,,,,,,Western,,Hotels,Maharashtra,Western,BSE/ NSE,,≥ 500crore,2021-12-31,2021,2021-22
C.E. Info Systems Limited,,Main Board,IPO,Private,10063945,0,10063945,2021-12-09 00:00:00,2021-12-13,154.79,2.0,,1033.0,1039.61,2021-12-21,,,,,,,,,,,,,,Northern ,6(1),Info Tech,Delhi,Northern,BSE/NSE,,≥ 500crore,2021-12-31,2021,2021-22
Bharat Gears Limited,,Main Board,Right,Private,930610,930610,0,2021-11-22 00:00:00,2021-12-06,0,10.0,,105.0,9.771405,2021-12-22,,,,,,,,,,,,,,Northern ,,Electronic Equipments/ Products,Haryana,Northern,BSE/ NSE,,≥ 5crore - < 10crore,2021-12-31,2021,2021-22
Metro Brands Limited,,Main Board,IPO,Private,27350100,5900000,21450100,2021-12-10 00:00:00,2021-12-14,3.64,5.0,,500.0,1367.51,2021-12-22,,,,,,,,,,,,,,Western,6(1),Misc,Maharashtra,Western,BSE/NSE,,≥ 500crore,2021-12-31,2021,2021-22
Nupur Recyclers Limited,,SME,IPO,Private,5700000,5700000,0,2021-12-13 00:00:00,2021-12-15,37.66,10.0,,60.0,34.2,2021-12-23,,,,,,,,,,,,,,Northern,,Misc,Delhi,Northern,NSE,,≥ 10crore - < 50crore,2021-12-31,2021,2021-22
Medplus Health Services Limited,,Main Board,IPO,Private,17573342,7544511,10028831,2021-12-13 00:00:00,2021-12-15,54.4691,2.0,,796.0,1398.3,2021-12-23,,,,,,,,,,,,,,Southern,6(1),Food processing,Telangana,Southern,BSE/NSE,,≥ 500crore,2021-12-31,2021,2021-22
SWISS MILITARY CONSUMER GOODS LIMITED,,Main Board,Right,Private, 49148498	, 49148498	,0,2021-11-24 00:00:00,2021-12-08,0,2.0,,2.0,9.82,2021-12-24,,,,,,,,,,,,,,Northen,,Electronic Equipments/ Products,Delhi,Northern,BSE,,≥ 5crore - < 10crore,2021-12-31,2021,2021-22
Data Patterns (India) Limited,,Main Board,IPO,Private,10055114,4102564,5952550,2021-12-14 00:00:00,2021-12-16,120.12,2.0,,585.0,588.22,2021-12-24,,,,,,,,,,,,,,Southern,6(1),Misc,Tamil Nadu,Southern,BSE/NSE,,≥ 500crore,2021-12-31,2021,2021-22
Euro Panel Products Limited,,SME,IPO,Private,6500000,6500000,0,2021-12-14 00:00:00,2021-12-16,1.1065,10.0,,70.0,45.46,2021-12-24,,,,,,,,,,,,,,Western,,Misc,Maharashtra,Western,NSE,,≥ 10crore - < 50crore,2021-12-31,2021,2021-22
Anuroop Packaging Limited,,Main Board,Right,Private, 3002000	, 3002000	,0,2021-11-22 00:00:00,2021-12-14,0,10.0,,13.0,3.9,2021-12-27,,,,,,,,,,,,,,Western,,Misc,Maharashtra,Western,BSE,,< 5 crore,2021-12-31,2021,2021-22
HP Adhesives Limited,,Main Board,IPO,Private,4597200,4140000,457200,2021-12-15 00:00:00,2021-12-17,20.96,10.0,,274.0,125.96,2021-12-27,,,,,,,,,,,,,,Western,6(2),Chemical,Maharashtra,Western,BSE/NSE,,≥ 100 crore - < 500crore,2021-12-31,2021,2021-22
HKG LIMITED	,,Main Board,Right,Private, 17500000	, 17500000	,0,2021-11-25 00:00:00,2021-12-10,0,2.0,,8.0,14.0,2021-12-28,,,,,,,,,,,,,,Western,,Misc,Maharashtra,Western,BSE,,≥ 10crore - < 50crore,2021-12-31,2021,2021-22
Foce India Limited,,SME,IPO,Private,1290000,900000,390000,2021-12-13 00:00:00,2021-12-17,0.67,10.0,,225.0,29.03,2021-12-28,,,,,,,,,,,,,,Western,,Misc,Maharashtra,Western,NSE,,≥ 10crore - < 50crore,2021-12-31,2021,2021-22
Supriya Lifescience Limited,,Main Board,IPO,Private,25547445,7299270,18248175,2021-12-16 00:00:00,2021-12-20,73.9412,2.0,,274.0,700.0,2021-12-28,,,,,,,,,,,,,,Western,6(2),Healthcare,Maharashtra,Western,BSE/NSE,,≥ 500crore,2021-12-31,2021,2021-22
CLARA INDUSTRIES LIMITED,,SME,IPO,Private,702000,702000,0,2021-12-16 00:00:00,2021-12-21,1.45,10.0,,43.0,3.02,2021-12-29,,,,,,,,,,,,,,Northern ,,Misc,Uttar Pradesh,Northern,BSE ,,< 5 crore,2021-12-31,2021,2021-22
CLARA INDUSTRIES LIMITED,,SME,IPO,Private,702000,702000,0,2021-12-16 00:00:00,2021-12-21,1.45,10.0,,43.0,3.02,2021-12-29,,,,,,,,,,,,,,Northern ,,Misc,Uttarakhand,Northern,BSE ,,< 5 crore,2021-12-31,2021,2021-22
Wherrelz IT Solutions Limited,,SME,IPO,Private,117600,117600,0,2021-12-16 00:00:00,2021-12-21,2.12,10.0,,171.0,2.01,2021-12-29,,,,,,,,,,,,,,Western,,Info Tech,Maharashtra,Western,BSE ,,< 5 crore,2021-12-31,2021,2021-22
Vivo Collaboration Solutions Limited,,SME,IPO,Private,536000,536000,0,2021-12-20 00:00:00,2021-12-23,253.12,10.0,,82.0,4.4,2021-12-31,,,,,,,,,,,,,,Northern,,Misc,Delhi,Northern,NSE,,< 5 crore,2021-12-31,2021,2021-22
Brandbucket Media & Technology Limited,,SME,IPO,Private,1500000,1500000,0,2021-12-20 00:00:00,2021-12-23,1.50,10.0,,55.0,8.25,2021-12-31,,,,,,,,,,,,,,Western,,Misc,Maharashtra,Western,BSE ,,≥ 5crore - < 10crore,2021-12-31,2021,2021-22
CMS Info Systems Limited,,Main Board,IPO,Private,50925925,0,50925925,2021-12-21 00:00:00,2021-12-23,2.05,10.0,,216.0,1100.0,2021-12-31,,,,,,,,,,,,,,Western,6(1),Consumer Services,Maharashtra,Western,BSE/NSE,,≥ 500crore,2021-12-31,2021,2021-22
Natural Capsules Ltd.,,Main Board,Right,Private,3116350,3116350,0,2021-11-30 00:00:00,2021-12-20,0,10.0,,100.0,31.16,2022-01-05,,,,,,,,,,,,,,Southern,,Healthcare,Karnataka,Southern,BSE,,≥ 10crore - < 50crore,2022-01-31,2022,2021-22
Vikas EcoTech Limited,,Main Board,Right,Private,309009241,309009241,0,2021-12-07 00:00:00,2021-12-21,0,1.0,,1.6,49.44147856,2022-01-10,,,,,,,,,,,,,,Northern,,Chemical,Delhi,Northern,BSE/ NSE,,≥ 10crore - < 50crore,2022-01-31,2022,2021-22
