Month,Exchange,parameter,Trading_Days,IDX_CO,IDX_FUT,IDX_PO,STK_CO,STK_FUT,STK_PO,Total_Futures,Total_Options,Total_Derivatives
31/03/2011,NSE,Turnover,22,"10,14,990.46","3,99,595.45","10,33,606.78","47,406.26","3,63,404.70","18,896.54","7,63,000.15","21,14,900.03","28,77,900.18"
30/04/2011,BSE,Contracts,18,"3,348.00",353,0,"1,142.00",82,0,435,"4,490.00","4,925.00"
30/04/2011,BSE,Premium Turnover,18,0,,0,0,,0,0,0,0
30/04/2011,BSE,Turnover,18,98.87,10.35,0,35.68,2.9,0,13.24,134.55,147.8
30/04/2011,NSE,Contracts,18,"2,82,12,015.00","1,02,71,439.00","2,78,19,338.00","17,55,056.00","1,28,80,705.00","6,01,461.00","2,31,52,144.00","5,83,87,870.00","8,15,40,014.00"
30/04/2011,NSE,Premium Turnover,18,0,,0,0,,0,0,0,0
30/04/2011,NSE,Turnover,18,"8,43,834.55","2,82,302.67","8,02,046.10","52,784.88","3,53,159.32","17,172.72","6,35,461.99","17,15,838.26","23,51,300.25"
31/05/2011,BSE,Contracts,22,0,39,0,"9,015.00",0,0,39,"9,015.00","9,054.00"
31/05/2011,BSE,Premium Turnover,22,0,,0,0,,0,0,0,0
31/05/2011,BSE,Turnover,22,0,1.08,0,281.77,0,0,1.08,281.77,282.85
31/05/2011,NSE,Contracts,22,"3,62,80,374.00","1,18,88,838.00","3,17,54,162.00","18,73,595.00","1,34,74,455.00","7,70,401.00","2,53,63,293.00","7,06,78,532.00","9,60,41,825.00"
31/05/2011,NSE,Premium Turnover,22,0,,0,0,,0,0,0,0
31/05/2011,NSE,Turnover,22,"10,27,312.75","3,05,744.58","8,65,583.74","50,101.22","3,36,688.59","19,706.94","6,42,433.16","19,62,704.65","26,05,137.81"
30/06/2011,BSE,Contracts,22,0,487,0,"1,929.00",2,0,489,"1,929.00","2,418.00"
30/06/2011,BSE,Premium Turnover,22,0,,0,0,,0,0,0,0
30/06/2011,BSE,Turnover,22,0,13.22,0,58.31,0.05,0,13.26,58.31,71.57
30/06/2011,NSE,Contracts,22,"3,31,30,753.00","1,03,13,335.00","3,17,02,572.00","18,65,161.00","1,29,93,351.00","7,39,167.00","2,33,06,686.00","6,74,37,653.00","9,07,44,339.00"
30/06/2011,NSE,Premium Turnover,22,0,,0,0,,0,0,0,0
30/06/2011,NSE,Turnover,22,"9,28,532.82","2,65,177.71","8,56,037.66","47,519.84","3,22,694.96","18,213.64","5,87,872.67","18,50,303.95","24,38,176.62"
31/07/2011,BSE,Contracts,21,30,706,0,0,532,0,"1,238.00",30,"1,268.00"
31/07/2011,BSE,Premium Turnover,21,0,,0,0,,0,0,0,0
31/07/2011,BSE,Turnover,21,0.85,19.76,0,0,15.58,0,35.33,0.85,36.18
31/07/2011,NSE,Contracts,21,"3,33,95,753.00","1,00,48,859.00","3,28,72,684.00","19,51,542.00","1,22,60,020.00","8,48,888.00","2,23,08,879.00","6,90,68,867.00","9,13,77,746.00"
31/07/2011,NSE,Premium Turnover,21,0,,0,0,,0,0,0,0
31/07/2011,NSE,Turnover,21,"9,57,646.59","2,65,640.91","9,10,078.90","57,733.53","3,49,890.70","23,974.21","6,15,531.61","19,49,433.23","25,64,964.84"
31/08/2011,BSE,Contracts,21,0,428,0,0,"1,736.00",0,"2,164.00",0,"2,164.00"
31/08/2011,BSE,Premium Turnover,21,0,,0,0,,0,0,0,0
31/08/2011,BSE,Turnover,21,0,10.81,0,0,47.02,0,57.82,0,57.82
31/08/2011,NSE,Contracts,21,"4,19,74,923.00","1,45,85,694.00","4,41,66,928.00","19,42,086.00","1,33,66,537.00","8,49,593.00","2,79,52,231.00","8,89,33,530.00","11,68,85,761.00"
31/08/2011,NSE,Premium Turnover,21,0,,0,0,,0,0,0,0
31/08/2011,NSE,Turnover,21,"11,07,825.30","3,47,176.59","11,01,698.36","51,801.28","3,33,790.91","21,456.72","6,80,967.51","22,82,781.66","29,63,749.17"
30/09/2011,BSE,Contracts,21,"4,541.00","19,303.00",86,91,"7,759.00",2,"27,062.00","4,720.00","31,782.00"
30/09/2011,BSE,Premium Turnover,21,0,,0,0,,0,0,0,0
30/09/2011,BSE,Turnover,21,120.07,474.08,2.18,2.15,241.04,0.06,715.12,124.46,839.58
30/09/2011,NSE,Contracts,21,"3,93,08,648.00","1,47,96,435.00","4,38,13,388.00","20,17,590.00","1,33,29,926.00","10,39,658.00","2,81,26,361.00","8,61,79,284.00","11,43,05,645.00"
30/09/2011,NSE,Premium Turnover,21,0,,0,0,,0,0,0,0
30/09/2011,NSE,Turnover,21,"10,17,490.68","3,46,826.28","10,68,239.36","51,575.13","3,26,289.50","24,842.85","6,73,115.78","21,62,148.02","28,35,263.80"
31/10/2011,BSE,Contracts,19,"13,663.00","1,07,417.00","7,907.00","11,735.00","46,749.00","1,031.00","1,54,166.00","34,336.00","1,88,502.00"
31/10/2011,BSE,Premium Turnover,19,0,,0,0,,0,0,0,0
31/10/2011,BSE,Turnover,19,355.82,"2,729.51",200.38,365.33,"1,377.95",31.93,"4,107.47",953.47,"5,060.94"
31/10/2011,NSE,Contracts,19,"3,02,05,915.00","1,12,89,988.00","3,37,44,688.00","16,36,032.00","1,13,58,625.00","9,05,536.00","2,26,48,613.00","6,64,92,171.00","8,91,40,784.00"
31/10/2011,NSE,Premium Turnover,19,0,,0,0,,0,0,0,0
31/10/2011,NSE,Turnover,19,"7,91,213.31","2,65,944.98","8,29,905.41","43,372.38","2,79,970.85","22,814.20","5,45,915.83","16,87,305.30","22,33,221.13"
30/11/2011,BSE,Contracts,20,"48,197.00","7,72,190.00","33,136.00","11,157.00","33,048.00",540,"8,05,238.00","93,030.00","8,98,268.00"
30/11/2011,BSE,Premium Turnover,20,0,,0,0,,0,0,0,0
30/11/2011,BSE,Turnover,20,"1,160.78","19,252.53","1,025.63",399.68,"1,221.51",11.69,"20,474.05","2,597.79","23,071.84"
30/11/2011,NSE,Contracts,20,"4,08,98,635.00","1,34,69,578.00","3,96,44,152.00","19,27,405.00","1,33,98,165.00","10,24,494.00","2,68,67,743.00","8,34,94,686.00","11,03,62,429.00"
30/11/2011,NSE,Premium Turnover,20,0,,0,0,,0,0,0,0
30/11/2011,NSE,Turnover,20,"10,55,219.19","3,12,138.92","9,72,017.17","47,175.52","3,05,421.48","24,586.46","6,17,560.40","20,98,998.34","27,16,558.74"
31/12/2011,BSE,Contracts,21,"2,17,809.00","15,69,569.00","63,791.00",2,"73,314.00",0,"16,42,883.00","2,81,602.00","19,24,485.00"
31/12/2011,BSE,Premium Turnover,21,0,,0,0,,0,0,0,0
31/12/2011,BSE,Turnover,21,"5,444.54","37,545.48","1,473.30",0.05,"2,151.73",0,"39,697.21","6,917.89","46,615.10"
31/12/2011,NSE,Contracts,21,"4,52,73,935.00","1,38,86,601.00","4,16,06,078.00","20,31,464.00","1,27,55,993.00","11,93,943.00","2,66,42,594.00","9,01,05,420.00","11,67,48,014.00"
31/12/2011,NSE,Premium Turnover,21,0,,0,0,,0,0,0,0
31/12/2011,NSE,Turnover,21,"11,32,427.05","3,07,197.68","9,76,324.21","46,805.59","2,79,920.71","26,187.63","5,87,118.39","21,81,744.48","27,68,862.87"
31/01/2012,BSE,Contracts,22,"5,38,404.00","18,99,450.00","2,90,718.00",0,"64,293.00",0,"19,63,743.00","8,29,122.00","27,92,865.00"
