Month,India G-Secs,Gold_INR,Silver_INR,Gold,Silver,WTI Crude Oil,Brent Oil,Natural Gas,Indian Rupee,Dollar Index
31/03/2014,1218.41,74588.9151,1203.6352,1201.64,19.4717,98.42,110.8,4.23,61.8,80.035
28/02/2014,1200.66,78340.9781,1249.3362,1253.35,19.9967,92.72,109.69,3.954,62.4487,80.68
31/01/2014,1199.22,82127.7129,1360.8451,1323.06,21.9137,96.38,108.84,3.581,61.495,80.195
31/12/2013,1189.08,83120.5568,1358.8162,1329.03,21.6998,102.33,108.37,3.56,62.6175,80.221
30/11/2013,1186.8,92322.1985,1556.5172,1395.27,23.5225,107.65,114.01,3.581,65.705,82.087
31/10/2013,1196.7,80386.9471,1204.4651,1325.07,19.8503,105.03,107.7,3.446,60.36,81.452
30/09/2013,1170.42,73511.251,1171.5292,1234.53,19.676,96.56,102.16,3.565,59.39,83.136
31/08/2013,1171.02,78615.6422,1260.5541,1387.8,22.2725,91.97,100.39,3.984,56.505,83.375
31/07/2013,1192.17,79018.5485,1296.4792,1476.71,24.3345,93.46,102.37,4.343,53.805,81.746
30/06/2013,1263.69,86937.9166,1545.4672,1597.5,28.32,97.23,110.02,4.024,54.28,82.976
31/05/2013,1276.81,86347.7525,1559.7292,1579.61,28.5438,92.05,111.38,3.486,54.36,81.949
30/04/2013,1239.96,88747.4325,1677.8342,1663.7,31.4637,97.49,115.55,3.339,53.2237,79.207
31/03/2013,1208.68,91792.4406,1662.6032,1675.35,30.345,91.82,111.11,3.351,54.985,79.769
28/02/2013,1207.05,93276.5736,1817.4732,1714.98,33.4125,88.91,111.23,3.561,54.265,80.153
31/01/2013,1197.33,92665.6282,1736.8242,1720.65,32.2425,86.24,108.7,3.692,53.8138,79.919
31/12/2012,1177.46,93717.5346,1827.1772,1772.25,34.4888,92.19,112.39,3.32,52.86,79.935
30/11/2012,1159.16,93762.4799,1758.4572,1691.85,31.7363,96.47,114.57,2.799,55.5263,81.208
