Month,Trades_in_Lakh,Traded_Quantity_in_Lakh,Turnover_in_Crore,ADT_Crore,Avg_Trade_Size,Traded_Quantity_in_DEMAT_in_Lakh,DEMAT_Turnover_in_Crore,Market_Cap_in_Crore,Sensex_Nifty_Close,Market_Cap_BSE_in_Crore,Nifty_Index,Sensex_Index
31/01/2016,"1,912.54","2,81,862.78","4,15,659.88","20,782.99","21,733.35","2,81,863.36","4,15,659.88","93,00,759.87","32,434.24","93,92,133.43","7,563.55","24,870.69"
29/02/2016,"1,920.02","2,53,040.50","4,02,804.31","19,181.16","20,979.21","2,53,040.50","4,02,804.28","85,03,001.03","29,989.05","85,83,144.70","6,987.05","23,002.00"
31/03/2016,"1,810.56","2,45,000.46","4,18,720.80","20,936.04","23,126.61","2,45,000.46","4,18,720.78","93,92,899.91","33,080.26","94,75,328.34","7,738.40","25,341.86"
30/04/2016,"1,596.98","2,04,607.03","3,58,653.62","19,925.20","22,458.29","2,04,607.03","3,58,653.62","96,16,563.89","33,456.42","97,10,538.63","7,849.80","25,606.62"
31/05/2016,"1,967.79","2,42,119.45","4,47,168.32","20,325.83","22,724.38","2,42,119.45","4,47,168.32","98,34,614.66","34,828.06","99,28,678.17","8,160.10","26,667.96"
30/06/2016,"2,012.22","2,93,195.71","4,44,224.35","20,192.02","22,076.29","2,93,195.71","4,44,224.34","1,01,92,942.58","35,287.47","1,02,85,548.67","8,287.75","26,999.72"
31/07/2016,"1,930.69","3,15,137.09","4,75,364.28","23,768.21","24,621.50","3,15,137.09","4,75,364.26","1,07,69,395.92","36,690.36","1,08,63,580.76","8,638.50","28,051.86"
31/08/2016,"2,165.05","2,83,568.13","5,44,709.77","24,759.53","25,159.23","2,83,568.13","5,44,709.77","1,10,05,059.63","37,238.37","1,10,99,422.93","8,786.20","28,452.17"
30/09/2016,"2,053.55","2,93,349.15","5,34,835.29","26,741.76","26,044.41","2,93,349.15","5,34,835.28","1,09,69,855.62","36,477.11","1,10,73,648.10","8,611.15","27,865.96"
31/10/2016,"1,819.75","2,58,800.67","4,49,672.95","23,667.00","24,710.63","2,58,800.67","4,49,672.93","1,12,83,871.02","36,555.91","1,14,06,693.23","8,625.70","27,930.21"
30/11/2016,"2,231.33","2,71,332.88","5,43,033.84","25,858.75","24,336.74","2,71,332.88","5,43,033.81","1,07,03,360.31","34,877.31","1,07,88,708.83","8,224.50","26,652.81"
31/12/2016,"1,798.96","2,13,282.82","3,96,652.20","18,029.65","22,049.03","2,13,282.82","3,96,652.20","1,05,31,484.17","34,812.26","1,06,23,347.05","8,185.80","26,626.46"
31/01/2017,"1,924.79","2,71,377.30","4,69,882.89","22,375.38","24,412.13","2,71,377.30","4,69,882.88","1,11,51,822.62","36,217.26","1,12,56,330.30","8,561.30","27,655.96"
28/02/2017,"1,991.42","3,14,996.08","5,44,629.67","28,664.72","27,348.81","3,14,996.08","5,44,629.65","1,16,60,788.34","37,622.92","1,17,59,366.88","8,879.60","28,743.32"
