Month,Sub_Category,No_scheme,No_Folios,Funds_Mobilised_YTD,Redemptions_YTD,Net_Inflow_YTD,Net_AUM,Average_AUM,No_Folios_segregated,AUM_segregated_folio
31-08-2022,Growth/Equity Oriented Schemes,402.00,"9,14,85,474.00","1,42,272.87","78,651.02","63,621.82","14,84,950.08","14,63,633.64",0.00,0.00
31-08-2022,Hybrid Schemes,136.00,"1,18,44,002.00","71,098.85","72,762.72","-1,663.87","4,90,374.21","5,07,236.96",5.00,35.14
31-08-2022,Income/Debt Oriented Schemes,429.00,"73,54,698.00","39,94,651.77","40,43,910.64","-,49,258.83","13,22,186.93","13,57,570.86",10.00,247.05
31-08-2022,Interval Schemes,12.00,"2,952.00","1,085.86",819.42,266.43,818.95,825.46,0.00,0.00
31-08-2022,Other Schemes,295.00,"2,01,79,210.00","1,00,346.22","29,780.65","70,565.57","6,04,290.01","5,93,289.10",0.00,0.00
31-08-2022,Solution Oriented  Schemes,35.00,"56,08,482.00","1,331.54",718.88,612.66,"31,257.47","30,867.10",0.00,0.00
30-09-2022,Growth/Equity Oriented Schemes,407.00,"9,28,00,771.00","1,77,870.28","1,00,171.37","77,698.91","14,70,742.68","14,93,290.78",0.00,0.00
30-09-2022,Hybrid Schemes,137.00,"1,19,19,414.00","83,460.57","87,812.41","-4,351.84","4,81,748.20","5,06,766.63",5.00,35.14
30-09-2022,Income/Debt Oriented Schemes,419.00,"73,23,252.00","48,99,551.66","50,15,293.67","-1,15,742.01","12,59,506.26","13,51,316.48",7.00,0.00
30-09-2022,Interval Schemes,12.00,"2,902.00","1,088.87",969.40,119.47,675.39,712.11,0.00,0.00
30-09-2022,Other Schemes,305.00,"2,04,15,137.00","1,25,080.19","40,891.32","84,188.87","5,98,655.11","6,04,550.15",0.00,0.00
30-09-2022,Solution Oriented  Schemes,36.00,"56,25,852.00","1,713.67",887.66,826.01,"31,023.08","31,354.21",0.00,0.00
31-10-2022,Growth/Equity Oriented Schemes,410.00,"9,36,06,539.00","2,03,374.29","1,16,422.01","86,952.30","15,29,344.36","14,92,495.93",0.00,0.00
31-10-2022,Hybrid Schemes,137.00,"1,19,31,685.00","91,971.17","99,142.43","-7,171.25","4,90,687.75","5,03,316.53",5.00,35.14
31-10-2022,Income/Debt Oriented Schemes,418.00,"73,01,829.00","56,27,651.52","57,46,158.94","-1,18,507.42","12,62,764.58","13,10,321.90",7.00,0.00
31-10-2022,Interval Schemes,12.00,"2,886.00","1,089.89","1,024.95",64.94,615.14,636.00,0.00,0.00
31-10-2022,Other Schemes,328.00,"2,05,99,941.00","1,43,936.45","49,486.68","94,449.76","6,34,974.13","6,15,114.14",0.00,0.00
31-10-2022,Solution Oriented  Schemes,36.00,"56,34,865.00","2,017.07","1,018.95",998.12,"31,937.16","31,324.30",0.00,0.00
30-11-2022,Growth/Equity Oriented Schemes,405.00,"9,42,14,024.00","2,31,662.00","1,42,485.69","89,176.31","15,65,101.89","15,37,988.07",0.00,0.00
30-11-2022,Hybrid Schemes,135.00,"1,19,02,020.00","1,02,607.07","1,16,255.63","-,13,648.56","4,93,800.39","5,08,087.61",5.00,35.14
30-11-2022,Income/Debt Oriented Schemes,416.00,"73,15,773.00","64,07,830.54","65,19,394.91","-1,11,564.36","12,78,325.82","13,20,895.11",7.00,0.00
30-11-2022,Interval Schemes,12.00,"2,890.00","1,302.22","1,150.40",151.82,699.76,678.19,0.00,0.00
30-11-2022,Other Schemes,343.00,"2,06,76,144.00","1,65,584.87","60,741.00","1,04,843.87","6,66,948.77","6,49,607.83",0.00,0.00
30-11-2022,Solution Oriented  Schemes,36.00,"56,44,299.00","2,319.99","1,229.05","1,090.94","32,684.18","32,183.28",0.00,0.00
31-12-2022,Growth/Equity Oriented Schemes,411.00,"9,53,09,205.00","2,61,453.50","1,64,996.75","96,456.75","15,31,893.54","15,48,140.79",0.00,0.00
31-12-2022,Hybrid Schemes,136.00,"1,19,62,111.00","1,18,422.97","1,29,816.28","-,11,393.31","4,91,075.67","5,08,343.96",5.00,35.14
31-12-2022,Income/Debt Oriented Schemes,424.00,"73,38,676.00","72,49,072.54","73,81,369.23","-1,32,296.84","12,64,291.23","13,19,357.81",7.00,0.00
31-12-2022,Interval Schemes,12.00,"2,896.00","1,430.50","1,150.82",279.68,836.15,826.11,0.00,0.00
31-12-2022,Other Schemes,356.00,"2,08,51,321.00","1,93,904.29","73,662.59","1,20,241.70","6,68,395.55","6,67,040.49",0.00,0.00
31-12-2022,Solution Oriented  Schemes,36.00,"56,55,381.00","2,654.21","1,400.93","1,253.28","32,243.24","32,461.36",0.00,0.00
31-01-2023,Growth/Equity Oriented Schemes,411.00,"9,65,74,761.00","2,90,886.61","1,81,958.29","1,08,928.32","15,12,952.13","15,24,429.68",0.00,0.00
31-01-2023,Hybrid Schemes,137.00,"1,20,90,171.00","1,34,615.86","1,41,517.25","-6,901.40","4,90,619.44","5,08,678.63",5.00,35.14
31-01-2023,Income/Debt Oriented Schemes,430.00,"73,32,763.00","80,47,046.44","81,89,076.20","-1,42,029.76","12,61,234.78","13,46,923.13",7.00,0.00
31-01-2023,Interval Schemes,12.00,"2,884.00","1,430.81","1,152.42",278.39,839.73,858.00,0.00,0.00
31-01-2023,Other Schemes,364.00,"2,11,75,049.00","2,17,508.58","93,312.26","1,24,196.31","6,64,813.82","6,67,268.02",0.00,0.00
31-01-2023,Solution Oriented  Schemes,36.00,"56,68,014.00","3,014.25","1,571.53","1,442.71","31,945.71","32,153.14",0.00,0.00
28-02-2023,Growth/Equity Oriented Schemes,416.00,"9,75,97,584.00","3,23,362.28","1,98,777.23","1,24,585.06","15,08,342.21","15,27,317.06",0.00,0.00
28-02-2023,Hybrid Schemes,138.00,"1,21,33,154.00","1,45,935.33","1,52,376.38","-6,441.07","4,87,414.99","5,09,565.98",5.00,35.14
28-02-2023,Income/Debt Oriented Schemes,435.00,"73,24,506.00","87,74,990.00","89,29,986.39","-1,54,996.42","12,54,004.96","13,26,492.73",7.00,0.00
28-02-2023,Interval Schemes,12.00,"2,874.00","1,526.16","1,480.48",45.68,631.31,796.55,0.00,0.00
28-02-2023,Other Schemes,379.00,"2,15,14,836.00","2,42,538.42","1,11,853.90","1,30,684.51","6,63,882.87","6,72,344.41",0.00,0.00
28-02-2023,Solution Oriented  Schemes,36.00,"56,77,802.00","3,335.44","1,723.29","1,612.15","31,980.60","32,283.52",0.00,0.00
31-03-2023,Growth/Equity Oriented Schemes,419.00,"9,86,48,846.00","3,62,003.06","2,17,227.72","1,44,775.32","15,23,282.20","15,12,545.31",0.00,0.00
31-03-2023,Hybrid Schemes,138.00,"1,21,45,563.00","1,58,174.68","1,76,987.78","-,18,813.11","4,78,916.84","5,01,000.44",5.00,35.14
31-03-2023,Income/Debt Oriented Schemes,451.00,"73,27,389.00","96,88,379.03","98,97,847.90","-2,09,468.85","12,08,976.35","12,90,530.42",7.00,0.00
31-03-2023,Interval Schemes,12.00,"2,846.00","1,996.06","1,588.64",407.42,999.29,907.93,0.00,0.00
31-03-2023,Other Schemes,399.00,"2,19,19,004.00","2,93,091.29","1,35,602.72","1,57,488.57","6,97,522.47","6,67,567.70",0.00,0.00
31-03-2023,Solution Oriented  Schemes,36.00,"56,86,952.00","3,712.95","1,876.86","1,836.09","32,333.52","32,085.86",0.00,0.00
30-04-2023,Growth/Equity Oriented Schemes,417.00,"9,90,86,519.00","25,401.49","20,126.02","5,275.45","15,89,149.36","15,55,722.04",0.00,0.00
30-04-2023,Hybrid Schemes,139.00,"1,21,36,310.00","13,796.62","10,479.62","3,317.01","4,94,305.22","5,01,863.67",5.00,35.14
30-04-2023,Income/Debt Oriented Schemes,444.00,"73,39,773.00","7,70,654.70","6,64,950.47","1,05,704.24","13,24,971.75","13,53,090.38",7.00,0.00
30-04-2023,Interval Schemes,12.00,"2,826.00",0.00,0.65,-0.65,"1,004.17","1,002.11",0.00,0.00
30-04-2023,Other Schemes,404.00,"2,21,58,720.00","15,115.38","8,170.16","6,945.23","7,18,842.79","7,08,126.08",0.00,0.00
30-04-2023,Solution Oriented  Schemes,36.00,"56,91,909.00",365.91,172.35,193.56,"33,548.36","32,911.11",0.00,0.00
31-05-2023,Growth/Equity Oriented Schemes,417.00,"9,97,92,523.00","56,210.93","48,029.05","8,181.88","16,61,021.86","16,25,273.91",0.00,0.00
31-05-2023,Hybrid Schemes,140.00,"1,21,46,180.00","33,465.29","24,055.47","9,409.83","5,09,678.23","5,17,354.58",5.00,35.14
31-05-2023,Income/Debt Oriented Schemes,430.00,"73,45,759.00","15,65,633.85","14,15,822.78","1,49,811.05","13,73,789.37","13,87,964.22",7.00,0.00
31-05-2023,Interval Schemes,12.00,"2,791.00",10.00,283.42,"-,273.42",734.93,910.48,0.00,0.00
31-05-2023,Other Schemes,406.00,"2,23,89,205.00","28,098.36","16,665.80","11,432.57","7,40,417.88","7,29,073.49",0.00,0.00
31-05-2023,Solution Oriented  Schemes,36.00,"56,99,044.00",687.23,393.88,293.36,"34,826.11","34,211.00",0.00,0.00
30-06-2023,Growth/Equity Oriented Schemes,421.00,"10,11,75,887.00","94,252.68","77,825.99","16,426.66","17,47,576.70","17,04,292.44",0.00,0.00
30-06-2023,Hybrid Schemes,141.00,"1,21,79,894.00","52,269.91","38,248.87","14,021.04","5,25,505.48","5,33,979.12",5.00,35.14
