Month,NSEBANK Index,NSEIT Index,NSEAUTO Index,NSEFIN Index,NSEFMCG Index,NSEPSBK Index,NSEPHRM Index,NSEMET Index,NSEREAL Index,NSEPSE Index,NSEMDSM Index,DEFTY Index,NIFTYJR Index,NSE200 Index,INVIXN Index,NIFTYM50 Index,NSE100 Index,NIFTY Index,S&P500 Index,NIFTYTR Index,CPSE Index,NSECON Index,NIFTYS Index,NSEPBANK Index,NSEINFR Index,NSEAP Index,NSESRV Index,NSEMED Index,NSEMNC Index,NSECMD Index,NSEMNCTR Index,NSEPSUTR Index,BSESML Index,BSEMID Index,BSE500 Index
31/03/1972,,,,,,,,,,,,,,,,,,,107.2,,,,,,,,,,,,,,,,
29/02/1972,,,,,,,,,,,,,,,,,,,106.57,,,,,,,,,,,,,,,,
31/01/1972,,,,,,,,,,,,,,,,,,,103.94,,,,,,,,,,,,,,,,
31/12/1971,,,,,,,,,,,,,,,,,,,102.09,,,,,,,,,,,,,,,,
30/11/1971,,,,,,,,,,,,,,,,,,,93.99,,,,,,,,,,,,,,,,
31/10/1971,,,,,,,,,,,,,,,,,,,94.23,,,,,,,,,,,,,,,,
30/09/1971,,,,,,,,,,,,,,,,,,,98.34,,,,,,,,,,,,,,,,
31/08/1971,,,,,,,,,,,,,,,,,,,99.03,,,,,,,,,,,,,,,,
31/07/1971,,,,,,,,,,,,,,,,,,,95.58,,,,,,,,,,,,,,,,
30/06/1971,,,,,,,,,,,,,,,,,,,99.7,,,,,,,,,,,,,,,,
31/05/1971,,,,,,,,,,,,,,,,,,,99.63,,,,,,,,,,,,,,,,
30/04/1971,,,,,,,,,,,,,,,,,,,103.95,,,,,,,,,,,,,,,,
31/03/1971,,,,,,,,,,,,,,,,,,,100.31,,,,,,,,,,,,,,,,
28/02/1971,,,,,,,,,,,,,,,,,,,96.75,,,,,,,,,,,,,,,,
31/01/1971,,,,,,,,,,,,,,,,,,,95.88,,,,,,,,,,,,,,,,
31/12/1970,,,,,,,,,,,,,,,,,,,92.15,,,,,,,,,,,,,,,,
30/11/1970,,,,,,,,,,,,,,,,,,,87.2,,,,,,,,,,,,,,,,
31/10/1970,,,,,,,,,,,,,,,,,,,83.25,,,,,,,,,,,,,,,,
30/09/1970,,,,,,,,,,,,,,,,,,,84.21,,,,,,,,,,,,,,,,
31/08/1970,,,,,,,,,,,,,,,,,,,81.52,,,,,,,,,,,,,,,,
31/07/1970,,,,,,,,,,,,,,,,,,,78.05,,,,,,,,,,,,,,,,
30/06/1970,,,,,,,,,,,,,,,,,,,72.72,,,,,,,,,,,,,,,,
31/05/1970,,,,,,,,,,,,,,,,,,,76.55,,,,,,,,,,,,,,,,
30/04/1970,,,,,,,,,,,,,,,,,,,81.52,,,,,,,,,,,,,,,,
31/03/1970,,,,,,,,,,,,,,,,,,,89.63,,,,,,,,,,,,,,,,
28/02/1970,,,,,,,,,,,,,,,,,,,89.5,,,,,,,,,,,,,,,,
31/01/1970,,,,,,,,,,,,,,,,,,,85.02,,,,,,,,,,,,,,,,
31/12/1969,,,,,,,,,,,,,,,,,,,92.06,,,,,,,,,,,,,,,,
30/11/1969,,,,,,,,,,,,,,,,,,,93.81,,,,,,,,,,,,,,,,
31/10/1969,,,,,,,,,,,,,,,,,,,97.24,,,,,,,,,,,,,,,,
30/09/1969,,,,,,,,,,,,,,,,,,,93.12,,,,,,,,,,,,,,,,
31/08/1969,,,,,,,,,,,,,,,,,,,95.51,,,,,,,,,,,,,,,,
31/07/1969,,,,,,,,,,,,,,,,,,,91.83,,,,,,,,,,,,,,,,
30/06/1969,,,,,,,,,,,,,,,,,,,97.71,,,,,,,,,,,,,,,,
31/05/1969,,,,,,,,,,,,,,,,,,,103.46,,,,,,,,,,,,,,,,
30/04/1969,,,,,,,,,,,,,,,,,,,103.69,,,,,,,,,,,,,,,,
31/03/1969,,,,,,,,,,,,,,,,,,,101.51,,,,,,,,,,,,,,,,
28/02/1969,,,,,,,,,,,,,,,,,,,98.13,,,,,,,,,,,,,,,,
