Month,Parameter,FPO,IPO,Right,Equity_Public Issues,Upload_Date,rank
31-01-2022,Amount of Issue Size,15.00,699.77,99.32,814.09,,1.00
31-01-2022,No of Issues,1.00,5.00,5.00,11.00,,1.00
28-02-2022,Amount of Issue Size,,"6,831.19",112.64,112.64,,1.00
28-02-2022,No of Issues,,9.00,4.00,13.00,,1.00
31-03-2022,Amount of Issue Size,,174.92,878.90,"1,053.82",,1.00
31-03-2022,No of Issues,,10.00,6.00,16.00,,1.00
30-04-2022,Amount of Issue Size,"4,300.00",519.24,138.18,657.42,,1.00
30-04-2022,No of Issues,1.00,9.00,5.00,15.00,,1.00
31-05-2022,Amount of Issue Size,,"31,387.51",931.62,931.62,,1.00
31-05-2022,No of Issues,,14.00,5.00,19.00,,1.00
30-06-2022,Amount of Issue Size,,"1,343.54",125.30,125.30,,1.00
30-06-2022,No of Issues,,8.00,4.00,12.00,,1.00
31-07-2022,Amount of Issue Size,,221.65,69.10,290.75,,1.00
31-07-2022,No of Issues,,11.00,4.00,15.00,,1.00
31-08-2022,Amount of Issue Size,,874.51,78.39,952.90,,1.00
31-08-2022,No of Issues,,5.00,4.00,9.00,,1.00
30-09-2022,Amount of Issue Size,,"2,413.74",298.31,298.31,,1.00
30-09-2022,No of Issues,,22.00,8.00,30.00,,1.00
31-10-2022,Amount of Issue Size,,"1,265.17",205.43,205.43,,1.00
31-10-2022,No of Issues,,21.00,6.00,27.00,,1.00
30-11-2022,Amount of Issue Size,,"10,082.82","1,651.32",0.00,,1.00
30-11-2022,No of Issues,,16.00,4.00,20.00,,1.00
31-12-2022,Amount of Issue Size,,"5,119.19",115.99,115.99,,1.00
31-12-2022,No of Issues,,18.00,3.00,21.00,,1.00
31-01-2023,Amount of Issue Size,,477.96,643.87,"1,121.83",,1.00
31-01-2023,No of Issues,,12.00,9.00,21.00,,1.00
28-02-2023,Amount of Issue Size,,84.93,485.09,570.02,,1.00
28-02-2023,No of Issues,,7.00,10.00,17.00,,1.00
31-03-2023,Amount of Issue Size,,995.57,"2,069.49",995.57,,1.00
31-03-2023,No of Issues,,23.00,14.00,37.00,,1.00
30-04-2023,Amount of Issue Size,,"1,110.41",870.89,870.89,,1.00
30-04-2023,No of Issues,,10.00,4.00,14.00,,1.00
31-05-2023,Amount of Issue Size,,"4,483.63","2,789.92",0.00,,1.00
31-05-2023,No of Issues,,8.00,6.00,14.00,,1.00
30-06-2023,Amount of Issue Size,,"1,336.92",225.52,225.52,,1.00
30-06-2023,No of Issues,,19.00,8.00,27.00,,1.00
31-07-2023,Amount of Issue Size,,"4,589.98",776.99,776.99,,1.00
31-07-2023,No of Issues,,23.00,7.00,30.00,,1.00
31-08-2023,Amount of Issue Size,,"5,124.31","1,342.36",0.00,,1.00
31-08-2023,No of Issues,,21.00,10.00,31.00,,1.00
30-09-2023,Amount of Issue Size,,"9,284.99",279.92,279.92,,1.00
30-09-2023,No of Issues,,31.00,4.00,35.00,,1.00
31-10-2023,Amount of Issue Size,,"5,428.52",129.60,129.60,,1.00
31-10-2023,No of Issues,,31.00,4.00,35.00,,1.00
30-11-2023,Amount of Issue Size,,"13,431.05",112.17,112.17,,1.00
30-11-2023,No of Issues,,26.00,4.00,30.00,,1.00
31-12-2023,Amount of Issue Size,,"9,533.78",38.00,38.00,,1.00
31-12-2023,No of Issues,,31.00,2.00,33.00,,1.00
31-01-2024,Amount of Issue Size,,"4,058.78",193.52,193.52,,1.00
31-01-2024,No of Issues,,23.00,3.00,26.00,,1.00
29-02-2024,Amount of Issue Size,,"7,684.11","7,958.58",0.00,,1.00
29-02-2024,No of Issues,,29.00,6.00,35.00,,1.00
31-03-2024,Amount of Issue Size,27.00,"3,829.43",420.34,447.34,,1.00
31-03-2024,No of Issues,1.00,25.00,10.00,36.00,,1.00
30-04-2024,Amount of Issue Size,"18,000.00","5,733.68","1,643.19",0.00,,1.00
30-04-2024,No of Issues,1.00,27.00,8.00,36.00,,1.00
