Month,Main_Category,No_scheme,No_Folios,Funds_Mobilised_YTD,Redemptions_YTD,Net_Inflow_YTD,Net_AUM,Average_AUM,No_Folios_segregated,AUM_segregated_folio
28-02-2023,Interval Schemes,12.00,"2,874.00","1,526.16","1,480.48",45.68,631.31,796.55,0.00,0.00
28-02-2023,Open ended Schemes,"1,253.00","14,37,31,714.00","94,77,683.32","93,52,326.92","1,25,356.36","39,14,715.94","40,37,537.92",12.00,35.14
31-03-2023,Close ended Schemes,165.00,"5,24,716.00","16,356.25","44,200.47","-,27,844.22","33,193.69","31,263.71",0.00,0.00
31-03-2023,Interval Schemes,12.00,"2,846.00","1,996.06","1,588.64",407.42,999.29,907.93,0.00,0.00
31-03-2023,Open ended Schemes,"1,278.00","14,52,03,038.00","1,04,89,004.76","1,03,85,342.52","1,03,662.23","39,07,837.69","39,72,466.03",12.00,35.14
30-04-2023,Close ended Schemes,155.00,"4,87,242.00",0.00,"2,177.98","-2,177.98","30,864.00","32,458.68",0.00,0.00
30-04-2023,Interval Schemes,12.00,"2,826.00",0.00,0.65,-0.65,"1,004.17","1,002.11",0.00,0.00
30-04-2023,Open ended Schemes,"1,285.00","14,59,25,989.00","8,25,334.10","7,01,720.64","1,23,613.47","41,29,953.47","41,19,254.61",12.00,35.14
31-05-2023,Close ended Schemes,140.00,"4,68,819.00",102.64,"4,466.70","-4,364.06","29,051.75","30,269.57",0.00,0.00
31-05-2023,Interval Schemes,12.00,"2,791.00",10.00,283.42,"-,273.42",734.93,910.48,0.00,0.00
31-05-2023,Open ended Schemes,"1,289.00","14,69,03,892.00","16,83,993.02","15,00,500.26","1,83,492.74","42,90,681.70","42,63,607.63",12.00,35.14
30-06-2023,Close ended Schemes,126.00,"4,39,475.00",102.64,"7,316.05","-7,213.41","25,941.83","27,367.38",0.00,0.00
30-06-2023,Interval Schemes,12.00,"2,734.00",11.01,753.31,"-,742.30",246.94,356.34,0.00,0.00
30-06-2023,Open ended Schemes,"1,299.00","14,86,89,499.00","26,30,139.44","24,45,350.78","1,84,788.63","44,12,998.44","44,54,589.88",12.00,35.14
31-07-2023,Close ended Schemes,120.00,"4,30,773.00",102.64,"7,735.25","-7,632.61","25,881.33","25,806.99",0.00,0.00
31-07-2023,Interval Schemes,12.00,"2,716.00",11.01,755.06,"-,744.05",246.59,269.88,0.00,0.00
31-07-2023,Open ended Schemes,"1,304.00","15,09,87,781.00","36,30,401.32","33,63,145.73","2,67,255.59","46,11,436.74","46,01,610.47",12.00,35.14
31-08-2023,Close ended Schemes,117.00,"6,29,127.00",405.83,"9,895.32","-9,489.49","29,609.21","31,025.68",0.00,0.00
31-08-2023,Interval Schemes,12.00,"2,699.00",106.97,788.73,"-,681.76",291.35,267.79,0.00,0.00
31-08-2023,Open ended Schemes,"1,316.00","15,36,09,751.00","45,90,574.70","43,07,138.59","2,83,436.11","46,33,579.58","46,62,354.45",12.00,35.14
30-09-2023,Close ended Schemes,112.00,"6,09,473.00",426.46,"12,192.59","-,11,766.13","27,508.69","28,173.82",0.00,0.00
30-09-2023,Interval Schemes,12.00,"2,627.00",106.99,821.09,"-,714.10",276.80,308.97,0.00,0.00
30-09-2023,Open ended Schemes,"1,327.00","15,64,84,087.00","54,78,955.04","52,59,401.42","2,19,553.61","46,29,969.71","47,50,532.52",12.00,35.14
31-10-2023,Close ended Schemes,110.00,"6,06,426.00",447.37,"12,270.80","-,11,823.44","27,344.78","27,454.57",0.00,0.00
31-10-2023,Interval Schemes,12.00,"2,610.00",107.41,821.98,"-,714.57",277.95,304.09,0.00,0.00
31-10-2023,Open ended Schemes,"1,339.00","15,90,37,754.00","64,56,174.59","61,56,034.80","3,00,139.79","46,44,065.17","47,52,663.77",12.00,35.14
30-11-2023,Close ended Schemes,110.00,"5,85,071.00",913.93,"14,040.32","-,13,126.38","26,534.80","26,571.27",0.00,0.00
30-11-2023,Interval Schemes,12.00,"2,619.00",241.52,824.81,"-,583.30",407.72,334.23,0.00,0.00
30-11-2023,Open ended Schemes,"1,350.00","16,12,26,893.00","73,55,341.64","70,28,414.55","3,26,927.09","48,78,049.96","48,47,907.17",12.00,35.14
31-12-2023,Close ended Schemes,117.00,"5,85,757.00","2,994.81","14,135.04","-,11,140.22","29,065.95","27,803.23",0.00,0.00
31-12-2023,Interval Schemes,12.00,"2,621.00",341.83,835.51,"-,493.68",499.91,473.79,0.00,0.00
31-12-2023,Open ended Schemes,"1,363.00","16,43,01,894.00","83,95,335.64","81,11,169.40","2,84,166.24","50,48,334.46","50,80,794.66",12.00,35.14
31-01-2024,Close ended Schemes,119.00,"5,78,631.00","3,401.86","14,559.58","-,11,157.71","29,149.32","29,053.27",0.00,0.00
31-01-2024,Interval Schemes,12.00,"2,628.00",447.78,835.92,"-,388.15",624.33,592.92,0.00,0.00
31-01-2024,Open ended Schemes,"1,378.00","16,89,77,923.00","94,21,508.40","90,14,224.84","4,07,283.56","52,44,227.07","52,59,361.52",12.00,35.14
29-02-2024,Close ended Schemes,118.00,"5,71,438.00","3,676.61","15,205.87","-,11,529.26","28,985.42","29,084.38",0.00,0.00
29-02-2024,Interval Schemes,12.00,"2,606.00",537.35,922.05,"-,384.71",621.53,655.04,0.00,0.00
29-02-2024,Open ended Schemes,"1,399.00","17,36,21,491.00","1,03,97,814.26","98,71,811.87","5,26,002.39","54,24,607.23","54,22,747.58",12.00,35.14
31-03-2024,Close ended Schemes,111.00,"5,61,808.00","4,023.30","17,754.75","-,13,731.45","26,939.26","28,042.63",0.00,0.00
31-03-2024,Interval Schemes,12.00,"2,502.00",537.36,"1,024.74","-,487.38",519.05,600.83,0.00,0.00
31-03-2024,Open ended Schemes,"1,418.00","17,72,92,450.00","1,14,43,654.13","1,10,74,733.98","3,68,920.15","53,12,736.36","54,72,084.09",12.00,35.14
30-04-2024,Close ended Schemes,107.00,"5,57,331.00",23.03,"1,104.34","-1,081.31","26,183.04","26,352.46",0.00,0.00
30-04-2024,Interval Schemes,12.00,"2,469.00",0.01,108.16,"-,108.15",429.11,487.05,0.00,0.00
30-04-2024,Open ended Schemes,"1,426.00","18,09,08,486.00","11,14,461.30","8,74,039.04","2,40,422.26","56,99,285.87","56,74,519.40",12.00,35.14
31-05-2024,Close ended Schemes,105.00,"5,51,297.00",41.86,"1,462.08","-1,420.22","26,035.50","26,080.41",0.00,0.00
31-05-2024,Interval Schemes,12.00,"2,434.00",0.01,355.57,"-,355.56",159.53,386.00,0.00,0.00
31-05-2024,Open ended Schemes,"1,435.00","18,54,14,491.00","21,02,983.09","17,51,457.51","3,51,525.58","58,64,965.49","58,33,485.02",12.00,35.14
30-06-2024,Close ended Schemes,102.00,"5,47,200.00",59.61,"2,005.84","-1,946.23","26,147.32","26,147.77",0.00,0.00
30-06-2024,Interval Schemes,12.00,"2,415.00",0.02,357.32,"-,357.30",162.03,196.83,0.00,0.00
30-06-2024,Open ended Schemes,"1,452.00","19,04,97,503.00","31,61,769.66","28,53,352.91","3,08,416.74","60,89,272.54","61,06,882.18",12.00,35.14
31-07-2024,Close ended Schemes,102.00,"5,43,475.00",79.03,"2,122.18","-2,043.15","26,496.80","26,333.88",0.00,0.00
31-07-2024,Interval Schemes,12.00,"2,379.00",0.02,358.09,"-,358.06",162.25,197.11,0.00,0.00
31-07-2024,Open ended Schemes,"1,467.00","19,78,60,440.00","43,95,289.47","38,97,731.29","4,97,558.18","64,69,994.02","64,44,133.37",12.00,35.14
